"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BRITANNIA","EQ","23-Aug-2017","       4198.85","       4225.70","       4267.70","       4156.00","       4245.00","       4247.15","       4239.52","     118712","           503282234.95","      18697","      58035","         48.89"
"BRITANNIA","EQ","24-Aug-2017","       4247.15","       4235.00","       4274.40","       4193.35","       4210.00","       4214.10","       4234.43","     123419","           522608605.75","      17790","     103249","         83.66"
"BRITANNIA","EQ","28-Aug-2017","       4214.10","       4250.00","       4258.85","       4175.95","       4185.00","       4188.30","       4199.34","     150029","           630022988.85","      25850","     105339","         70.21"
"BRITANNIA","EQ","29-Aug-2017","       4188.30","       4181.00","       4219.25","       4142.20","       4154.00","       4172.60","       4166.47","     165131","           688013653.45","      12317","     111533","         67.54"
"BRITANNIA","EQ","30-Aug-2017","       4172.60","       4180.00","       4262.50","       4180.00","       4230.00","       4241.35","       4234.52","     101234","           428677083.40","      14262","      54533","         53.87"
"BRITANNIA","EQ","31-Aug-2017","       4241.35","       4267.70","       4272.00","       4212.25","       4229.95","       4230.95","       4231.36","     134547","           569316659.65","      19742","      83204","         61.84"
"BRITANNIA","EQ","01-Sep-2017","       4230.95","       4220.00","       4260.30","       4201.50","       4240.00","       4243.95","       4245.65","      96172","           408312860.80","       9330","      72630","         75.52"
"BRITANNIA","EQ","04-Sep-2017","       4243.95","       4245.00","       4259.00","       4151.00","       4216.25","       4219.65","       4204.48","     114767","           482535364.75","      14612","      59699","         52.02"
"BRITANNIA","EQ","05-Sep-2017","       4219.65","       4242.00","       4271.85","       4220.00","       4250.00","       4260.60","       4251.90","     137103","           582947856.45","      17492","      49242","         35.92"
"BRITANNIA","EQ","06-Sep-2017","       4260.60","       4230.00","       4257.00","       4209.00","       4241.50","       4247.85","       4244.61","     115639","           490842730.60","       9021","      83762","         72.43"
"BRITANNIA","EQ","07-Sep-2017","       4247.85","       4251.00","       4295.00","       4244.00","       4256.00","       4261.10","       4265.60","     114924","           490220114.00","      14088","      60788","         52.89"
"BRITANNIA","EQ","08-Sep-2017","       4261.10","       4281.00","       4350.00","       4269.35","       4289.80","       4288.25","       4311.05","     139346","           600727733.05","      11861","      46469","         33.35"
"BRITANNIA","EQ","11-Sep-2017","       4288.25","       4290.00","       4330.00","       4290.00","       4295.00","       4297.30","       4310.23","      71094","           306431782.25","       6800","      46751","         65.76"
"BRITANNIA","EQ","12-Sep-2017","       4297.30","       4330.00","       4338.50","       4302.90","       4316.00","       4317.20","       4316.90","     113421","           489626787.75","      10976","      84935","         74.88"
"BRITANNIA","EQ","13-Sep-2017","       4317.20","       4325.00","       4360.00","       4280.00","       4318.40","       4329.95","       4333.25","      92788","           402073744.90","      11530","      60818","         65.55"
"BRITANNIA","EQ","14-Sep-2017","       4329.95","       4349.00","       4349.00","       4313.45","       4340.00","       4340.65","       4332.67","      94563","           409710667.00","       7602","      80897","         85.55"
"BRITANNIA","EQ","15-Sep-2017","       4340.65","       4345.00","       4380.85","       4330.00","       4356.00","       4357.00","       4357.97","     139797","           609230800.20","      13867","      89701","         64.17"
"BRITANNIA","EQ","18-Sep-2017","       4357.00","       4379.90","       4409.00","       4362.30","       4380.60","       4388.45","       4384.64","     217716","           954607289.25","      12291","      48230","         22.15"
"BRITANNIA","EQ","19-Sep-2017","       4388.45","       4370.25","       4395.00","       4323.00","       4370.00","       4370.20","       4362.16","     108932","           475179093.55","      14805","      66269","         60.84"
"BRITANNIA","EQ","20-Sep-2017","       4370.20","       4370.00","       4386.95","       4341.25","       4358.00","       4351.05","       4358.51","      47068","           205146233.55","       7872","      28026","         59.54"
"BRITANNIA","EQ","21-Sep-2017","       4351.05","       4374.00","       4374.00","       4306.05","       4319.00","       4328.10","       4345.08","      80286","           348849453.10","      12003","      53837","         67.06"
"BRITANNIA","EQ","22-Sep-2017","       4328.10","       4304.90","       4345.70","       4254.05","       4262.10","       4270.30","       4307.18","     192809","           830462785.40","      17192","     142543","         73.93"
"BRITANNIA","EQ","25-Sep-2017","       4270.30","       4232.60","       4318.45","       4232.60","       4285.50","       4281.10","       4276.19","     133944","           572769703.05","      15774","      87512","         65.33"
"BRITANNIA","EQ","26-Sep-2017","       4281.10","       4281.30","       4340.00","       4265.00","       4325.00","       4326.00","       4309.48","     105618","           455158758.35","      17233","      69983","         66.26"
"BRITANNIA","EQ","27-Sep-2017","       4326.00","       4331.90","       4357.35","       4272.95","       4300.00","       4301.75","       4300.69","     157927","           679195220.85","      23606","     103952","         65.82"
"BRITANNIA","EQ","28-Sep-2017","       4301.75","       4287.00","       4375.00","       4286.00","       4340.50","       4339.70","       4331.65","     176417","           764176066.65","      19791","     121503","         68.87"
"BRITANNIA","EQ","29-Sep-2017","       4339.70","       4345.00","       4356.10","       4324.05","       4345.00","       4344.25","       4344.41","     156179","           678506128.65","      16641","     120911","         77.42"
"BRITANNIA","EQ","03-Oct-2017","       4344.25","       4415.00","       4415.00","       4330.00","       4351.95","       4340.05","       4359.11","      72907","           317809919.30","       8378","      48710","         66.81"
"BRITANNIA","EQ","04-Oct-2017","       4340.05","       4330.00","       4398.00","       4330.00","       4343.25","       4341.85","       4342.41","     113760","           493992636.90","      13833","      89074","         78.30"
"BRITANNIA","EQ","05-Oct-2017","       4341.85","       4385.00","       4385.00","       4345.05","       4365.00","       4363.65","       4365.76","      74107","           323533626.65","      11093","      56823","         76.68"
"BRITANNIA","EQ","06-Oct-2017","       4363.65","       4363.50","       4370.00","       4326.50","       4365.00","       4361.85","       4359.25","     100973","           440166445.90","      11076","      77065","         76.32"
"BRITANNIA","EQ","09-Oct-2017","       4361.85","       4361.85","       4393.15","       4322.95","       4347.95","       4344.50","       4345.69","     184082","           799964099.20","      12744","     148834","         80.85"
"BRITANNIA","EQ","10-Oct-2017","       4344.50","       4379.00","       4390.40","       4334.00","       4360.90","       4348.60","       4354.66","      87459","           380854353.00","      10611","      63083","         72.13"
"BRITANNIA","EQ","11-Oct-2017","       4348.60","       4352.00","       4399.00","       4302.30","       4385.00","       4375.95","       4353.49","     322795","          1405285256.95","      30056","     271992","         84.26"
"BRITANNIA","EQ","12-Oct-2017","       4375.95","       4394.90","       4578.50","       4389.05","       4570.10","       4544.45","       4513.05","     426061","          1922833730.60","      40519","     171377","         40.22"
"BRITANNIA","EQ","13-Oct-2017","       4544.45","       4550.00","       4656.00","       4550.00","       4601.95","       4582.20","       4610.37","     355914","          1640894218.30","      27878","     228518","         64.21"
"BRITANNIA","EQ","16-Oct-2017","       4582.20","       4590.15","       4617.70","       4515.10","       4542.00","       4540.10","       4541.83","     111373","           505837416.80","      18473","      72439","         65.04"
"BRITANNIA","EQ","17-Oct-2017","       4540.10","       4530.00","       4640.00","       4530.00","       4621.00","       4615.30","       4617.25","     106307","           490845871.50","      11747","      46819","         44.04"
"BRITANNIA","EQ","18-Oct-2017","       4615.30","       4621.00","       4725.00","       4605.05","       4706.15","       4685.85","       4647.67","     179088","           832341281.65","      11019","      57494","         32.10"
"BRITANNIA","EQ","19-Oct-2017","       4685.85","       4710.00","       4725.00","       4620.10","       4628.00","       4636.25","       4660.22","      14699","            68500504.60","       1755","       4866","         33.10"
"BRITANNIA","EQ","23-Oct-2017","       4636.25","       4642.70","       4746.95","       4638.10","       4660.00","       4655.20","       4683.54","     121350","           568347269.45","      16857","      66765","         55.02"
"BRITANNIA","EQ","24-Oct-2017","       4655.20","       4688.00","       4688.00","       4602.05","       4626.15","       4625.85","       4638.96","      72527","           336450213.80","      13213","      46986","         64.78"
"BRITANNIA","EQ","25-Oct-2017","       4625.85","       4649.00","       4659.90","       4575.00","       4640.00","       4644.25","       4622.30","     153517","           709601692.60","      18214","     103212","         67.23"
"BRITANNIA","EQ","26-Oct-2017","       4644.25","       4626.55","       4663.55","       4587.00","       4610.00","       4604.65","       4601.59","     150389","           692028295.75","      18990","      93650","         62.27"
"BRITANNIA","EQ","27-Oct-2017","       4604.65","       4608.90","       4654.60","       4570.10","       4599.90","       4597.35","       4592.80","      93708","           430382198.85","      14669","      64610","         68.95"
