"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"COALINDIA","EQ","23-Aug-2017","        240.55","        242.30","        242.50","        239.50","        241.35","        241.10","        240.50","    3693013","           888162604.75","      26686","    1319205","         35.72"
"COALINDIA","EQ","24-Aug-2017","        241.10","        242.40","        242.80","        239.60","        241.65","        241.30","        241.19","    3835139","           925002640.90","      28581","    2411822","         62.89"
"COALINDIA","EQ","28-Aug-2017","        241.30","        242.00","        244.30","        241.55","        242.80","        243.60","        243.04","    2231233","           542289736.00","      34974","    1093554","         49.01"
"COALINDIA","EQ","29-Aug-2017","        243.60","        242.50","        242.50","        238.00","        238.20","        238.25","        239.72","    3051560","           731516277.95","      33042","    1424919","         46.69"
"COALINDIA","EQ","30-Aug-2017","        238.25","        240.95","        242.40","        239.15","        241.45","        241.80","        241.27","    3263209","           787300089.35","      28993","    1914487","         58.67"
"COALINDIA","EQ","31-Aug-2017","        241.80","        241.50","        241.50","        235.85","        238.05","        237.40","        237.91","    8401866","          1998894651.65","      58767","    5312496","         63.23"
"COALINDIA","EQ","01-Sep-2017","        237.40","        238.05","        240.40","        238.05","        239.00","        238.65","        238.94","    2197715","           525111896.55","      19099","     977859","         44.49"
"COALINDIA","EQ","04-Sep-2017","        238.65","        239.00","        247.20","        238.95","        246.25","        246.50","        244.39","    8269444","          2020978000.00","      56382","    3339855","         40.39"
"COALINDIA","EQ","05-Sep-2017","        246.50","        246.50","        254.70","        244.60","        253.70","        253.85","        251.18","    9538135","          2395789612.00","      56740","    4938907","         51.78"
"COALINDIA","EQ","06-Sep-2017","        253.85","        251.55","        257.55","        251.05","        257.10","        255.80","        254.34","    4237130","          1077678810.70","      36514","    1759075","         41.52"
"COALINDIA","EQ","07-Sep-2017","        255.80","        258.70","        258.90","        251.65","        253.00","        253.30","        254.68","    5398987","          1374994556.15","      49365","    2572178","         47.64"
"COALINDIA","EQ","08-Sep-2017","        253.30","        253.30","        255.85","        251.55","        254.85","        255.00","        254.32","    3749501","           953585621.55","      37581","    2252322","         60.07"
"COALINDIA","EQ","11-Sep-2017","        255.00","        256.50","        259.60","        255.25","        256.80","        257.05","        257.43","    3525110","           907483235.45","      37674","    1739962","         49.36"
"COALINDIA","EQ","12-Sep-2017","        257.05","        256.10","        258.30","        253.40","        257.00","        257.55","        255.73","    3752410","           959607217.30","      38498","    1849744","         49.29"
"COALINDIA","EQ","13-Sep-2017","        257.55","        257.00","        259.70","        255.10","        256.85","        256.35","        257.00","    3956139","          1016722627.65","      42742","    2179262","         55.09"
"COALINDIA","EQ","14-Sep-2017","        256.35","        255.60","        258.20","        254.05","        255.00","        255.05","        255.38","    5756534","          1470124265.50","      31668","    3396522","         59.00"
"COALINDIA","EQ","15-Sep-2017","        255.05","        255.20","        262.20","        255.20","        260.80","        259.80","        259.42","    8591867","          2228882153.10","      73336","    5056660","         58.85"
"COALINDIA","EQ","18-Sep-2017","        259.80","        261.45","        265.00","        260.10","        264.25","        264.55","        263.20","    4114253","          1082891843.20","      32918","    2225832","         54.10"
"COALINDIA","EQ","19-Sep-2017","        264.55","        262.00","        262.95","        257.10","        258.25","        258.55","        258.99","    5364164","          1389259111.55","      51179","    3100867","         57.81"
"COALINDIA","EQ","20-Sep-2017","        258.55","        258.55","        258.70","        253.20","        256.85","        256.55","        255.49","    3310089","           845691949.90","      38152","    1779164","         53.75"
"COALINDIA","EQ","21-Sep-2017","        256.55","        255.50","        256.40","        248.50","        254.40","        254.05","        252.41","    4473641","          1129186474.85","      32062","    2329833","         52.08"
"COALINDIA","EQ","22-Sep-2017","        254.05","        253.50","        254.45","        248.00","        253.80","        253.80","        251.20","    5178307","          1300781720.65","      42137","    2804372","         54.16"
"COALINDIA","EQ","25-Sep-2017","        253.80","        254.40","        257.70","        250.25","        257.50","        257.05","        254.75","    5684406","          1448119151.05","      45377","    3358913","         59.09"
"COALINDIA","EQ","26-Sep-2017","        257.05","        257.50","        261.85","        253.80","        259.55","        260.40","        258.48","    4587866","          1185864308.40","      49781","    2456646","         53.55"
"COALINDIA","EQ","27-Sep-2017","        260.40","        261.75","        261.90","        255.30","        260.20","        260.85","        259.27","    5990467","          1553133128.20","      80497","    3172931","         52.97"
"COALINDIA","EQ","28-Sep-2017","        260.85","        260.00","        270.25","        258.95","        266.35","        267.80","        266.84","   15893278","          4240976610.20","      99940","    8289202","         52.16"
"COALINDIA","EQ","29-Sep-2017","        267.80","        270.00","        272.40","        267.30","        271.00","        270.85","        270.33","    4839652","          1308304400.10","      45344","    2288446","         47.29"
"COALINDIA","EQ","03-Oct-2017","        270.85","        273.00","        274.30","        269.15","        272.05","        272.00","        271.50","    2925990","           794392221.20","      45331","    1342492","         45.88"
"COALINDIA","EQ","04-Oct-2017","        272.00","        271.15","        271.85","        268.70","        270.00","        270.00","        269.95","    2861280","           772413335.65","      25322","    1736502","         60.69"
"COALINDIA","EQ","05-Oct-2017","        270.00","        270.00","        273.95","        269.05","        273.10","        273.25","        272.13","    3173461","           863583420.00","      22987","    1484174","         46.77"
"COALINDIA","EQ","06-Oct-2017","        273.25","        273.50","        278.50","        273.45","        277.45","        276.70","        276.69","    7954834","          2201055338.10","      39627","    4558908","         57.31"
"COALINDIA","EQ","09-Oct-2017","        276.70","        277.00","        281.95","        276.80","        280.75","        281.35","        280.22","    7166260","          2008149284.30","      43060","    4235141","         59.10"
"COALINDIA","EQ","10-Oct-2017","        281.35","        281.35","        286.25","        281.35","        285.60","        285.65","        284.59","    8451221","          2405167487.45","      49889","    5194738","         61.47"
"COALINDIA","EQ","11-Oct-2017","        285.65","        286.00","        286.50","        280.75","        281.00","        282.95","        283.90","   17103406","          4855576126.50","      58846","   10464814","         61.19"
"COALINDIA","EQ","12-Oct-2017","        282.95","        281.90","        283.75","        280.15","        282.60","        282.40","        281.74","    5889501","          1659313020.80","      39137","    4252796","         72.21"
"COALINDIA","EQ","13-Oct-2017","        282.40","        282.60","        289.00","        282.60","        285.70","        287.25","        286.68","    5084089","          1457511831.25","      47028","    2810388","         55.28"
"COALINDIA","EQ","16-Oct-2017","        287.25","        287.30","        291.50","        286.75","        291.00","        290.70","        289.90","    5476361","          1587612799.65","      39478","    3127206","         57.10"
"COALINDIA","EQ","17-Oct-2017","        290.70","        291.00","        291.00","        288.25","        291.00","        290.05","        289.45","    3950516","          1143486233.70","      23275","    2388559","         60.46"
"COALINDIA","EQ","18-Oct-2017","        290.05","        290.00","        291.45","        288.30","        289.80","        290.00","        290.02","    3633204","          1053706807.80","      24674","    1738302","         47.84"
"COALINDIA","EQ","19-Oct-2017","        290.00","        290.00","        290.05","        284.90","        285.05","        285.80","        286.60","     543143","           155665604.95","       5140","     280076","         51.57"
"COALINDIA","EQ","23-Oct-2017","        285.80","        286.50","        291.40","        286.50","        289.70","        289.85","        289.94","   13204235","          3828400731.45","      42230","    9768695","         73.98"
"COALINDIA","EQ","24-Oct-2017","        289.85","        289.05","        291.95","        288.00","        289.50","        289.70","        290.00","    3062378","           888087774.30","      27822","    2130868","         69.58"
"COALINDIA","EQ","25-Oct-2017","        289.70","        291.00","        291.70","        287.55","        288.55","        289.15","        289.59","    2442011","           707178086.75","      25371","    1693009","         69.33"
"COALINDIA","EQ","26-Oct-2017","        289.15","        289.00","        295.00","        289.00","        294.00","        293.35","        292.48","    8702312","          2545263247.00","      45284","    5419576","         62.28"
"COALINDIA","EQ","27-Oct-2017","        293.35","        294.00","        294.25","        287.90","        288.75","        289.15","        290.13","    2507100","           727382333.85","      16227","    1587733","         63.33"
"COALINDIA","EQ","30-Oct-2017","        289.15","        289.15","        290.90","        285.10","        289.00","        288.90","        288.14","    2210701","           636990702.20","      17816","    1422424","         64.34"
"COALINDIA","EQ","31-Oct-2017","        288.90","        287.00","        288.30","        283.35","        287.00","        286.45","        285.17","    2596941","           740556813.95","      29463","    1474260","         56.77"
"COALINDIA","EQ","01-Nov-2017","        286.45","        286.50","        290.00","        281.55","        287.85","        286.55","        285.91","    3609151","          1031898587.45","      20512","    1538941","         42.64"
"COALINDIA","EQ","02-Nov-2017","        286.55","        286.90","        292.35","        284.65","        290.80","        291.20","        290.38","    4090974","          1187916903.40","      43783","    2467476","         60.32"
"COALINDIA","EQ","03-Nov-2017","        291.20","        291.20","        292.00","        285.05","        286.50","        286.55","        288.28","    4371428","          1260176602.05","      23772","    3132355","         71.66"
"COALINDIA","EQ","06-Nov-2017","        286.55","        286.50","        289.45","        283.90","        286.15","        286.35","        286.45","    4414386","          1264516911.85","      31229","    2918421","         66.11"
"COALINDIA","EQ","07-Nov-2017","        286.35","        286.60","        287.80","        283.10","        285.00","        284.65","        285.09","    4584351","          1306956687.80","      30225","    2549968","         55.62"
"COALINDIA","EQ","08-Nov-2017","        284.65","        283.25","        289.00","        282.50","        286.45","        288.05","        285.32","   13609387","          3883016768.95","      32551","   10524363","         77.33"
"COALINDIA","EQ","09-Nov-2017","        288.05","        286.90","        287.50","        280.05","        283.30","        283.25","        283.08","    3805782","          1077322246.70","      39942","    2021102","         53.11"
"COALINDIA","EQ","10-Nov-2017","        283.25","        283.30","        287.45","        278.00","        285.70","        284.35","        281.42","    3527154","           992605482.80","      29266","    1910014","         54.15"
"COALINDIA","EQ","13-Nov-2017","        284.35","        276.20","        280.30","        274.00","        274.35","        274.95","        275.83","    5406841","          1491363563.85","      44482","    2798215","         51.75"
"COALINDIA","EQ","14-Nov-2017","        274.95","        274.35","        275.40","        271.25","        275.20","        274.15","        273.69","    2798791","           765988378.95","      24860","    1511602","         54.01"
"COALINDIA","EQ","15-Nov-2017","        274.15","        274.00","        274.15","        270.20","        272.75","        272.35","        271.64","    2600287","           706351320.85","      19938","    1621949","         62.38"
"COALINDIA","EQ","16-Nov-2017","        272.35","        272.50","        272.90","        266.15","        269.00","        268.35","        268.22","    2776035","           744591722.40","      34298","    1454848","         52.41"
"COALINDIA","EQ","17-Nov-2017","        268.35","        271.50","        273.40","        268.75","        272.65","        272.80","        271.75","    3366492","           914836302.15","      22231","    2174519","         64.59"
"COALINDIA","EQ","20-Nov-2017","        272.80","        273.00","        280.25","        270.05","        278.40","        278.35","        277.30","    3090470","           856999870.10","      27994","    1027761","         33.26"
"COALINDIA","EQ","21-Nov-2017","        278.35","        279.00","        282.00","        273.10","        273.20","        273.80","        276.01","    2880586","           795071133.60","      23500","    1430834","         49.67"
"COALINDIA","EQ","22-Nov-2017","        273.80","        275.50","        276.50","        271.10","        271.25","        271.80","        272.78","    1531611","           417795534.35","      26557","     454917","         29.70"
"COALINDIA","EQ","23-Nov-2017","        271.80","        271.50","        274.10","        268.80","        270.00","        270.45","        271.53","    1490892","           404826682.75","      16581","     392768","         26.34"
"COALINDIA","EQ","24-Nov-2017","        270.45","        270.75","        272.85","        270.40","        271.65","        271.50","        271.62","     876297","           238021956.55","      11097","     297659","         33.97"
"COALINDIA","EQ","27-Nov-2017","        271.50","        270.85","        272.40","        269.35","        271.80","        271.65","        270.77","     887044","           240182925.40","      13773","     274678","         30.97"
"COALINDIA","EQ","28-Nov-2017","        271.65","        272.00","        276.40","        269.55","        273.80","        274.35","        273.71","    7236470","          1980691269.30","      40827","    2999149","         41.44"
"COALINDIA","EQ","29-Nov-2017","        274.35","        276.90","        282.10","        274.50","        277.05","        276.30","        278.91","    5209745","          1453035614.60","      44396","    1569546","         30.13"
"COALINDIA","EQ","30-Nov-2017","        276.30","        275.30","        278.30","        272.50","        275.35","        275.80","        274.64","    7343947","          2016943002.75","      46245","    4201715","         57.21"
"COALINDIA","EQ","01-Dec-2017","        275.80","        275.20","        276.35","        270.00","        272.40","        272.05","        272.57","    1987545","           541753141.70","      17966","     820072","         41.26"
"COALINDIA","EQ","04-Dec-2017","        272.05","        273.00","        273.60","        265.15","        265.90","        265.90","        267.45","    2398989","           641615183.70","      33120","    1003484","         41.83"
"COALINDIA","EQ","05-Dec-2017","        265.90","        265.00","        266.35","        263.10","        265.20","        265.25","        264.81","    1277351","           338252013.05","      19508","     442597","         34.65"
"COALINDIA","EQ","06-Dec-2017","        265.25","        263.20","        267.85","        263.20","        265.15","        265.10","        265.91","    1779062","           473062582.80","      33135","     902524","         50.73"
"COALINDIA","EQ","07-Dec-2017","        265.10","        266.00","        266.90","        262.00","        263.25","        262.80","        263.69","    1932289","           509518200.45","      28168","     859227","         44.47"
"COALINDIA","EQ","08-Dec-2017","        262.80","        264.90","        265.60","        262.35","        264.60","        264.85","        263.83","    2408884","           635540793.25","      22546","    1416584","         58.81"
