"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GRASIM","EQ","23-Aug-2017","       1114.25","       1120.00","       1125.00","       1111.50","       1120.15","       1119.05","       1118.66","     535864","           599449711.65","      27830","     355071","         66.26"
"GRASIM","EQ","24-Aug-2017","       1119.05","       1121.00","       1141.45","       1120.50","       1133.90","       1134.45","       1134.61","    1418657","          1609627233.00","      50541","    1001403","         70.59"
"GRASIM","EQ","28-Aug-2017","       1134.45","       1143.00","       1149.40","       1135.00","       1149.00","       1143.00","       1142.54","     864950","           988238710.00","      36227","     568063","         65.68"
"GRASIM","EQ","29-Aug-2017","       1143.00","       1146.00","       1149.60","       1123.65","       1133.25","       1132.85","       1133.39","     857870","           972303246.45","      26875","     588126","         68.56"
"GRASIM","EQ","30-Aug-2017","       1132.85","       1140.45","       1187.50","       1138.55","       1185.00","       1173.05","       1173.09","    1518388","          1781201109.80","      48494","     925679","         60.96"
"GRASIM","EQ","31-Aug-2017","       1173.05","       1195.00","       1200.00","       1171.65","       1195.00","       1195.20","       1188.94","    1386754","          1648768551.40","      38252","     827757","         59.69"
"GRASIM","EQ","01-Sep-2017","       1195.20","       1210.00","       1238.20","       1153.00","       1170.00","       1170.75","       1187.94","    3413732","          4055304799.70","      78975","    1007140","         29.50"
"GRASIM","EQ","04-Sep-2017","       1170.75","       1169.00","       1184.00","       1156.80","       1163.00","       1170.45","       1171.92","     887217","          1039747904.55","      28454","     376137","         42.40"
"GRASIM","EQ","05-Sep-2017","       1170.45","       1168.00","       1186.00","       1165.45","       1179.90","       1179.95","       1178.70","     954415","          1124966453.35","      26433","     593446","         62.18"
"GRASIM","EQ","06-Sep-2017","       1179.95","       1179.00","       1191.00","       1166.15","       1186.00","       1186.25","       1185.56","     825373","           978529639.60","      36668","     415700","         50.37"
"GRASIM","EQ","07-Sep-2017","       1186.25","       1182.20","       1223.30","       1182.20","       1206.00","       1212.15","       1212.26","    1360449","          1649221032.90","      51343","     734794","         54.01"
"GRASIM","EQ","08-Sep-2017","       1212.15","       1209.95","       1217.00","       1195.00","       1209.85","       1209.70","       1207.95","     825525","           997196301.55","      24855","     496228","         60.11"
"GRASIM","EQ","11-Sep-2017","       1209.70","       1215.00","       1238.00","       1210.00","       1231.00","       1232.75","       1227.31","     930513","          1142030406.05","      26174","     637376","         68.50"
"GRASIM","EQ","12-Sep-2017","       1232.75","       1234.00","       1276.45","       1234.00","       1257.10","       1257.60","       1258.65","    1486859","          1871437746.85","      49094","     874509","         58.82"
"GRASIM","EQ","13-Sep-2017","       1257.60","       1256.90","       1267.70","       1222.65","       1234.15","       1229.55","       1247.22","     587877","           733212954.55","      28502","     269321","         45.81"
