"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IBULHSGFIN","EQ","23-Aug-2017","       1176.35","       1177.45","       1231.55","       1156.00","       1222.20","       1221.75","       1193.91","    1275205","          1522486233.50","      48563","     421400","         33.05"
"IBULHSGFIN","N8","23-Aug-2017","       1002.00","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","         10","               10300.00","          1","         10","        100.00"
"IBULHSGFIN","NA","23-Aug-2017","       1105.00","       1110.00","       1110.00","       1104.99","       1104.99","       1104.99","       1107.50","          2","                2214.99","          2","          1","         50.00"
"IBULHSGFIN","NB","23-Aug-2017","       1100.25","       1055.00","       1055.00","       1010.40","       1050.00","       1050.00","       1046.73","         12","               12560.80","          3","         10","         83.33"
"IBULHSGFIN","EQ","24-Aug-2017","       1221.75","       1218.00","       1234.20","       1203.10","       1209.00","       1210.35","       1215.34","     858188","          1042993219.55","      37409","     309839","         36.10"
"IBULHSGFIN","N8","24-Aug-2017","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","         60","               61800.00","          7","         60","        100.00"
"IBULHSGFIN","NA","24-Aug-2017","       1104.99","       1105.00","       1119.99","       1105.00","       1105.00","       1105.00","       1111.84","         57","               63374.99","          4","         56","         98.25"
"IBULHSGFIN","EQ","28-Aug-2017","       1210.35","       1206.00","       1237.95","       1191.95","       1227.00","       1223.25","       1211.00","     782937","           948133819.70","      32230","     395329","         50.49"
"IBULHSGFIN","N3","28-Aug-2017","       1020.00","       1085.00","       1085.00","       1085.00","       1085.00","       1085.00","       1085.00","        135","              146475.00","          4","        135","        100.00"
"IBULHSGFIN","NA","28-Aug-2017","       1105.00","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","         20","               22200.00","          2","         20","        100.00"
"IBULHSGFIN","NB","28-Aug-2017","       1050.00","       1105.25","       1105.25","       1105.25","       1105.25","       1105.25","       1105.25","         50","               55262.50","          1","         50","        100.00"
"IBULHSGFIN","EQ","29-Aug-2017","       1223.25","       1220.00","       1222.90","       1196.50","       1201.15","       1202.30","       1204.61","    1555390","          1873641209.40","      60848","     948225","         60.96"
"IBULHSGFIN","N4","29-Aug-2017","       1035.01","       1040.00","       1040.00","       1040.00","       1040.00","       1040.00","       1040.00","         10","               10400.00","          1","         10","        100.00"
"IBULHSGFIN","N7","29-Aug-2017","       1005.51","       1030.05","       1031.05","       1012.00","       1031.05","       1031.05","       1026.12","         13","               13339.50","          3","         10","         76.92"
"IBULHSGFIN","NA","29-Aug-2017","       1110.00","       1109.99","       1109.99","       1108.99","       1108.99","       1108.99","       1109.97","        111","              123206.80","          3","        110","         99.10"
"IBULHSGFIN","EQ","30-Aug-2017","       1202.30","       1206.00","       1226.55","       1205.25","       1210.40","       1208.00","       1213.66","    1196811","          1452520902.25","      29887","     719303","         60.10"
"IBULHSGFIN","N3","30-Aug-2017","       1085.00","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","         75","               79500.00","          2","         75","        100.00"
"IBULHSGFIN","NA","30-Aug-2017","       1108.99","       1109.99","       1109.99","       1109.99","       1109.99","       1109.99","       1109.99","          1","                1109.99","          1","          1","        100.00"
"IBULHSGFIN","EQ","31-Aug-2017","       1208.00","       1210.50","       1222.00","       1200.00","       1213.20","       1215.50","       1213.17","    1909173","          2316151424.10","      44638","    1314196","         68.84"
"IBULHSGFIN","N4","31-Aug-2017","       1040.00","       1040.00","       1040.00","       1040.00","       1040.00","       1040.00","       1040.00","         20","               20800.00","          1","         20","        100.00"
"IBULHSGFIN","N8","31-Aug-2017","       1030.00","       1025.70","       1025.70","       1025.70","       1025.70","       1025.70","       1025.70","         20","               20514.00","          2","         20","        100.00"
"IBULHSGFIN","NA","31-Aug-2017","       1109.99","       1079.90","       1079.90","       1079.90","       1079.90","       1079.90","       1079.90","          5","                5399.50","          1","          5","        100.00"
"IBULHSGFIN","EQ","01-Sep-2017","       1215.50","       1214.00","       1229.40","       1210.10","       1221.50","       1222.45","       1221.47","     515317","           629442591.25","      37534","     255246","         49.53"
"IBULHSGFIN","N3","01-Sep-2017","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","         75","               79500.00","          6","         75","        100.00"
"IBULHSGFIN","NA","01-Sep-2017","       1079.90","       1090.00","       1107.00","       1090.00","       1107.00","       1107.00","       1105.11","         18","               19892.00","          3","         18","        100.00"
"IBULHSGFIN","EQ","04-Sep-2017","       1222.45","       1222.40","       1256.80","       1218.70","       1230.35","       1235.35","       1241.41","    1517147","          1883400520.00","      41793","     410799","         27.08"
"IBULHSGFIN","N3","04-Sep-2017","       1060.00","       1065.00","       1065.00","       1065.00","       1065.00","       1065.00","       1065.00","         50","               53250.00","          2","         50","        100.00"
"IBULHSGFIN","NA","04-Sep-2017","       1107.00","       1105.99","       1105.99","       1102.00","       1102.00","       1102.00","       1103.54","         55","               60694.90","          5","         55","        100.00"
"IBULHSGFIN","EQ","05-Sep-2017","       1235.35","       1235.70","       1245.00","       1217.60","       1236.00","       1240.85","       1229.57","     946245","          1163477130.75","      21472","     490334","         51.82"
"IBULHSGFIN","N4","05-Sep-2017","       1040.00","       1040.01","       1040.01","       1040.00","       1040.00","       1040.00","       1040.00","        500","              520000.25","         13","        500","        100.00"
"IBULHSGFIN","NA","05-Sep-2017","       1102.00","       1102.00","       1104.00","       1102.00","       1104.00","       1104.00","       1103.64","         55","               60700.00","          5","         55","        100.00"
"IBULHSGFIN","EQ","06-Sep-2017","       1240.85","       1238.40","       1273.30","       1221.15","       1265.00","       1264.30","       1258.90","    1265704","          1593397524.75","      35896","     514450","         40.65"
"IBULHSGFIN","NA","06-Sep-2017","       1104.00","       1104.00","       1119.99","       1104.00","       1104.00","       1104.00","       1107.23","        298","              329954.70","         22","        298","        100.00"
