"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","23-Aug-2017","        293.95","        296.00","        299.20","        295.30","        298.60","        298.60","        297.56","    9142592","          2720501571.25","      61005","    5433656","         59.43"
"ICICIBANK","EQ","24-Aug-2017","        298.60","        300.00","        300.15","        296.65","        298.95","        297.70","        298.16","   12766567","          3806484228.70","      61885","    4689902","         36.74"
"ICICIBANK","EQ","28-Aug-2017","        297.70","        299.70","        302.25","        298.10","        301.00","        300.90","        300.38","    8827300","          2651554838.65","      65238","    5898308","         66.82"
"ICICIBANK","EQ","29-Aug-2017","        300.90","        300.00","        302.80","        298.10","        298.70","        299.50","        300.60","   12737088","          3828778615.50","      65176","    8108903","         63.66"
"ICICIBANK","EQ","30-Aug-2017","        299.50","        301.80","        302.30","        299.40","        300.10","        300.30","        300.79","    8552010","          2572369828.05","      79802","    5413737","         63.30"
"ICICIBANK","EQ","31-Aug-2017","        300.30","        300.90","        300.90","        297.00","        298.30","        298.05","        298.08","   14865124","          4431000001.10","      73823","   11248888","         75.67"
"ICICIBANK","EQ","01-Sep-2017","        298.05","        299.70","        299.70","        297.15","        298.30","        298.30","        298.39","    7472688","          2229784902.75","      56841","    4547388","         60.85"
"ICICIBANK","EQ","04-Sep-2017","        298.30","        299.90","        300.00","        294.50","        297.10","        297.10","        297.12","    6244661","          1855413923.95","      55130","    3292898","         52.73"
"ICICIBANK","EQ","05-Sep-2017","        297.10","        296.70","        299.00","        296.70","        297.30","        297.60","        297.89","    7683590","          2288835391.25","      52131","    5372596","         69.92"
"ICICIBANK","EQ","06-Sep-2017","        297.60","        294.90","        296.00","        294.30","        295.45","        295.35","        295.19","    4854030","          1432869027.90","      36088","    2680446","         55.22"
"ICICIBANK","EQ","07-Sep-2017","        295.35","        295.55","        298.50","        292.10","        292.90","        292.65","        294.09","   15630577","          4596731377.90","      94268","    9012398","         57.66"
"ICICIBANK","EQ","08-Sep-2017","        292.65","        294.80","        294.80","        290.05","        292.50","        292.00","        291.59","    8077662","          2355372740.50","      75534","    4746118","         58.76"
"ICICIBANK","EQ","11-Sep-2017","        292.00","        293.00","        293.70","        289.05","        291.50","        290.80","        291.40","    7639794","          2226238722.50","      97075","    3999101","         52.35"
"ICICIBANK","EQ","12-Sep-2017","        290.80","        292.65","        293.40","        290.50","        291.55","        291.20","        291.97","    8497603","          2481033237.25","      71688","    5468136","         64.35"
"ICICIBANK","EQ","13-Sep-2017","        291.20","        292.10","        293.25","        291.20","        291.85","        292.00","        292.23","    8297426","          2424795460.85","      71693","    5483869","         66.09"
"ICICIBANK","EQ","14-Sep-2017","        292.00","        291.70","        295.60","        291.70","        294.55","        293.70","        293.80","   12267908","          3604343631.70","      88050","    4731012","         38.56"
"ICICIBANK","EQ","15-Sep-2017","        293.70","        294.45","        295.55","        290.95","        291.35","        291.60","        291.91","   22632513","          6606555698.80","      85696","   16080527","         71.05"
"ICICIBANK","EQ","18-Sep-2017","        291.60","        293.90","        294.40","        292.15","        293.15","        293.00","        293.16","   11181986","          3278137794.25","      59894","    6725500","         60.15"
"ICICIBANK","EQ","19-Sep-2017","        293.00","        291.90","        295.50","        289.60","        294.30","        294.65","        292.30","    7558625","          2209353790.40","     105865","    3932875","         52.03"
"ICICIBANK","EQ","20-Sep-2017","        294.65","        292.00","        292.85","        289.60","        290.00","        290.55","        291.26","   14617079","          4257308700.50","      98867","   11577283","         79.20"
"ICICIBANK","EQ","21-Sep-2017","        290.55","        289.45","        290.40","        283.65","        285.10","        284.95","        285.24","   14496834","          4135083782.00","     111248","   10198377","         70.35"
"ICICIBANK","EQ","22-Sep-2017","        284.95","        283.60","        283.95","        275.75","        277.70","        277.10","        278.55","   23451953","          6532443377.40","     121239","   14658687","         62.51"
"ICICIBANK","EQ","25-Sep-2017","        277.10","        278.95","        280.70","        275.55","        279.25","        279.50","        278.37","   13358067","          3718462564.80","      79624","    8142024","         60.95"
"ICICIBANK","EQ","26-Sep-2017","        279.50","        279.50","        284.00","        276.75","        282.20","        282.75","        280.76","   11325047","          3179588968.25","      86251","    7386849","         65.23"
"ICICIBANK","EQ","27-Sep-2017","        282.75","        284.75","        284.75","        275.40","        276.10","        276.40","        277.33","   17853590","          4951308665.90","     129985","   12915950","         72.34"
"ICICIBANK","EQ","28-Sep-2017","        276.40","        275.95","        277.80","        269.15","        276.00","        275.95","        274.20","   32223724","          8835749160.65","     173557","   21020645","         65.23"
"ICICIBANK","EQ","29-Sep-2017","        275.95","        277.45","        281.65","        275.75","        277.00","        276.60","        278.60","    9980756","          2780675220.30","      86966","    5992729","         60.04"
"ICICIBANK","EQ","03-Oct-2017","        276.60","        279.50","        280.70","        275.15","        278.30","        278.40","        277.59","    6752832","          1874523211.10","      91640","    4174791","         61.82"
"ICICIBANK","EQ","04-Oct-2017","        278.40","        279.25","        279.40","        275.10","        276.00","        276.10","        277.14","    7417758","          2055758850.95","      77835","    3786923","         51.05"
"ICICIBANK","EQ","05-Oct-2017","        276.10","        276.00","        277.40","        271.10","        272.00","        271.80","        272.81","   10975305","          2994133104.95","      92905","    7608520","         69.32"
"ICICIBANK","EQ","06-Oct-2017","        271.80","        272.15","        274.45","        270.55","        272.50","        271.95","        272.70","   25447787","          6939586197.15","     102566","   18641989","         73.26"
"ICICIBANK","EQ","09-Oct-2017","        271.95","        273.35","        276.30","        271.25","        271.55","        271.75","        273.21","   20478222","          5594841828.50","     245056","   15582800","         76.09"
"ICICIBANK","EQ","10-Oct-2017","        271.75","        271.85","        273.00","        269.15","        270.00","        269.80","        270.64","   18594444","          5032401396.45","     162730","   11725434","         63.06"
"ICICIBANK","EQ","11-Oct-2017","        269.80","        271.10","        272.00","        266.20","        267.10","        267.60","        269.23","   12687990","          3415953627.60","     151980","    8571638","         67.56"
"ICICIBANK","EQ","12-Oct-2017","        267.60","        267.60","        267.95","        264.05","        267.40","        267.55","        266.31","   11831125","          3150798267.50","      96016","    7621145","         64.42"
"ICICIBANK","EQ","13-Oct-2017","        267.55","        267.60","        274.65","        267.60","        271.20","        271.30","        272.15","   14402254","          3919566142.40","     143586","    7854758","         54.54"
