"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INDUSINDBK","EQ","23-Aug-2017","       1626.30","       1628.00","       1664.95","       1628.00","       1656.20","       1660.90","       1648.06","    1091055","          1798127844.25","      62812","     764141","         70.04"
"INDUSINDBK","EQ","24-Aug-2017","       1660.90","       1662.10","       1684.00","       1655.70","       1667.35","       1667.70","       1672.60","    1400606","          2342650516.35","      39627","     741274","         52.93"
"INDUSINDBK","EQ","28-Aug-2017","       1667.70","       1667.00","       1670.00","       1653.65","       1663.90","       1660.55","       1660.50","     745075","          1237198308.25","      40254","     444511","         59.66"
"INDUSINDBK","EQ","29-Aug-2017","       1660.55","       1645.00","       1659.30","       1638.10","       1641.40","       1643.30","       1647.64","     514823","           848240793.25","      23334","     266782","         51.82"
"INDUSINDBK","EQ","30-Aug-2017","       1643.30","       1651.00","       1665.80","       1647.05","       1660.55","       1655.80","       1658.74","     379651","           629740554.75","      23726","     179305","         47.23"
"INDUSINDBK","EQ","31-Aug-2017","       1655.80","       1662.50","       1668.40","       1648.00","       1658.05","       1656.75","       1657.72","    1845805","          3059820065.05","      42623","    1002210","         54.30"
"INDUSINDBK","EQ","01-Sep-2017","       1656.75","       1661.00","       1695.80","       1654.00","       1689.05","       1692.25","       1682.20","     616709","          1037425441.80","      32449","     379580","         61.55"
"INDUSINDBK","EQ","04-Sep-2017","       1692.25","       1682.50","       1689.55","       1658.50","       1662.00","       1669.45","       1672.04","     423495","           708100959.45","      25914","     232253","         54.84"
"INDUSINDBK","EQ","05-Sep-2017","       1669.45","       1670.70","       1688.60","       1665.00","       1682.05","       1684.75","       1681.11","     530479","           891792368.70","      19885","     381903","         71.99"
"INDUSINDBK","EQ","06-Sep-2017","       1684.75","       1676.00","       1693.80","       1673.15","       1691.65","       1684.80","       1686.63","    1155788","          1949389405.05","      31524","     817706","         70.75"
"INDUSINDBK","EQ","07-Sep-2017","       1684.80","       1690.00","       1715.15","       1687.65","       1704.00","       1703.90","       1699.11","     854744","          1452304418.65","      23214","     614483","         71.89"
"INDUSINDBK","EQ","08-Sep-2017","       1703.90","       1712.90","       1713.00","       1688.10","       1700.00","       1695.90","       1698.73","     741404","          1259448193.75","      28574","     484808","         65.39"
"INDUSINDBK","EQ","11-Sep-2017","       1695.90","       1711.00","       1804.00","       1700.75","       1790.00","       1791.25","       1767.01","    3433596","          6067196703.70","     109895","    1191092","         34.69"
"INDUSINDBK","EQ","12-Sep-2017","       1791.25","       1803.75","       1803.75","       1737.00","       1740.00","       1741.90","       1756.22","    2108188","          3702433009.55","      59795","     828635","         39.31"
"INDUSINDBK","EQ","13-Sep-2017","       1741.90","       1745.75","       1765.00","       1736.40","       1743.95","       1744.75","       1751.15","    1217425","          2131891550.55","      39558","     495771","         40.72"
"INDUSINDBK","EQ","14-Sep-2017","       1744.75","       1749.00","       1749.00","       1719.10","       1723.90","       1728.75","       1732.23","     989267","          1713634445.05","      51303","     490732","         49.61"
"INDUSINDBK","EQ","15-Sep-2017","       1728.75","       1725.00","       1727.80","       1691.15","       1701.00","       1699.35","       1703.27","    2777536","          4730887360.10","      67295","    2287351","         82.35"
"INDUSINDBK","EQ","18-Sep-2017","       1699.35","       1706.10","       1752.90","       1706.10","       1743.00","       1745.60","       1738.32","    1469531","          2554512162.90","      48627","     922808","         62.80"
"INDUSINDBK","EQ","19-Sep-2017","       1745.60","       1749.70","       1758.00","       1741.20","       1745.00","       1746.45","       1749.27","     858627","          1501973405.95","      29737","     576429","         67.13"
"INDUSINDBK","EQ","20-Sep-2017","       1746.45","       1745.00","       1756.50","       1722.65","       1726.15","       1726.40","       1730.69","    1195102","          2068345258.05","      46313","     884017","         73.97"
"INDUSINDBK","EQ","21-Sep-2017","       1726.40","       1729.00","       1735.00","       1711.35","       1729.50","       1730.15","       1720.06","     883253","          1519246521.85","      35115","     574475","         65.04"
"INDUSINDBK","EQ","22-Sep-2017","       1730.15","       1720.00","       1721.15","       1694.00","       1704.05","       1707.60","       1703.42","    1247158","          2124430115.90","      44574","     806609","         64.68"
"INDUSINDBK","EQ","25-Sep-2017","       1707.60","       1695.25","       1713.70","       1675.20","       1699.00","       1701.70","       1699.06","    1728603","          2936995212.90","      56648","    1111529","         64.30"
"INDUSINDBK","EQ","26-Sep-2017","       1701.70","       1693.10","       1706.50","       1682.05","       1689.00","       1693.40","       1693.59","     616105","          1043427802.25","      28508","     346187","         56.19"
"INDUSINDBK","EQ","27-Sep-2017","       1693.40","       1699.00","       1704.60","       1662.55","       1665.30","       1667.95","       1683.13","    1037854","          1746840026.40","      37232","     627670","         60.48"
"INDUSINDBK","EQ","28-Sep-2017","       1667.95","       1662.90","       1695.00","       1641.20","       1679.85","       1680.75","       1663.20","    2385207","          3967065354.05","      72962","    1400088","         58.70"
"INDUSINDBK","EQ","29-Sep-2017","       1680.75","       1681.00","       1695.50","       1669.00","       1675.50","       1682.20","       1680.18","    1007099","          1692107520.20","      47744","     669328","         66.46"
"INDUSINDBK","EQ","03-Oct-2017","       1682.20","       1693.00","       1701.50","       1667.90","       1697.00","       1692.95","       1688.18","    1236296","          2087090938.25","      54273","     892714","         72.21"
"INDUSINDBK","EQ","04-Oct-2017","       1692.95","       1695.00","       1713.65","       1682.70","       1691.20","       1697.70","       1699.96","     671976","          1142333102.10","      29725","     401435","         59.74"
"INDUSINDBK","EQ","05-Oct-2017","       1697.70","       1694.95","       1706.00","       1683.00","       1683.00","       1688.80","       1692.81","     628607","          1064113837.75","      29810","     345921","         55.03"
"INDUSINDBK","EQ","06-Oct-2017","       1688.80","       1691.95","       1697.65","       1677.00","       1686.35","       1682.50","       1686.72","     709562","          1196833137.80","      38466","     353317","         49.79"
"INDUSINDBK","EQ","09-Oct-2017","       1682.50","       1682.50","       1713.95","       1674.00","       1702.10","       1699.50","       1697.76","     842338","          1430083715.85","      38348","     459474","         54.55"
"INDUSINDBK","EQ","10-Oct-2017","       1699.50","       1708.80","       1729.30","       1708.35","       1728.05","       1725.15","       1721.92","     846533","          1457663640.35","      29994","     397944","         47.01"
"INDUSINDBK","EQ","11-Oct-2017","       1725.15","       1728.20","       1741.85","       1707.05","       1716.00","       1717.25","       1728.57","    1073174","          1855058094.35","      38021","     624441","         58.19"
"INDUSINDBK","EQ","12-Oct-2017","       1717.25","       1730.95","       1750.00","       1699.30","       1747.00","       1743.00","       1729.80","    2435199","          4212411773.40","      64422","     635672","         26.10"
"INDUSINDBK","EQ","13-Oct-2017","       1743.00","       1752.00","       1758.00","       1740.55","       1746.50","       1750.35","       1750.76","    1974411","          3456729439.35","      44974","    1253290","         63.48"
"INDUSINDBK","EQ","16-Oct-2017","       1750.35","       1740.00","       1746.45","       1697.70","       1721.00","       1716.00","       1718.18","    2888889","          4963632306.50","     106125","    1239079","         42.89"
"INDUSINDBK","EQ","17-Oct-2017","       1716.00","       1721.00","       1735.00","       1700.35","       1713.10","       1707.70","       1712.33","    1641325","          2810497072.20","      42555","    1082012","         65.92"
"INDUSINDBK","EQ","18-Oct-2017","       1707.70","       1716.90","       1721.00","       1705.00","       1709.85","       1708.30","       1713.74","     979869","          1679236967.10","      35081","     631910","         64.49"
"INDUSINDBK","EQ","19-Oct-2017","       1708.30","       1713.00","       1713.85","       1680.10","       1683.30","       1690.85","       1696.62","     129154","           219125066.45","       4902","      52851","         40.92"
"INDUSINDBK","EQ","23-Oct-2017","       1690.85","       1691.00","       1707.25","       1681.90","       1698.05","       1695.50","       1697.96","    1745367","          2963560881.45","      40293","    1204659","         69.02"
"INDUSINDBK","EQ","24-Oct-2017","       1695.50","       1694.50","       1700.95","       1654.80","       1664.05","       1664.90","       1670.02","    1531714","          2557996391.15","      83095","    1056430","         68.97"
"INDUSINDBK","EQ","25-Oct-2017","       1664.90","       1669.90","       1669.90","       1580.50","       1602.10","       1592.40","       1602.08","    3573873","          5725612996.80","     156781","    2512991","         70.32"
"INDUSINDBK","EQ","26-Oct-2017","       1592.40","       1608.95","       1624.00","       1572.40","       1618.95","       1617.60","       1606.77","    2084712","          3349662240.90","      92877","    1522442","         73.03"
"INDUSINDBK","EQ","27-Oct-2017","       1617.60","       1627.95","       1646.90","       1616.60","       1629.00","       1627.35","       1634.20","    1531589","          2502916858.55","      48935","    1037728","         67.75"
"INDUSINDBK","EQ","30-Oct-2017","       1627.35","       1635.00","       1641.85","       1618.10","       1623.10","       1620.75","       1624.84","    1549643","          2517914225.05","      56878","    1222964","         78.92"
"INDUSINDBK","EQ","31-Oct-2017","       1620.75","       1624.00","       1642.00","       1618.80","       1630.00","       1627.15","       1630.05","    1539175","          2508930719.00","      72411","    1226733","         79.70"
"INDUSINDBK","EQ","01-Nov-2017","       1627.15","       1641.00","       1645.50","       1625.20","       1642.00","       1642.55","       1637.48","    1051035","          1721044736.20","      75744","     741816","         70.58"
"INDUSINDBK","EQ","02-Nov-2017","       1642.55","       1644.50","       1649.75","       1624.25","       1627.10","       1627.50","       1632.29","    1016358","          1658993446.50","      61189","     768624","         75.63"
"INDUSINDBK","EQ","03-Nov-2017","       1627.50","       1635.50","       1679.15","       1626.60","       1670.00","       1674.50","       1661.48","    1960324","          3257032300.75","      88841","    1441562","         73.54"
"INDUSINDBK","EQ","06-Nov-2017","       1674.50","       1653.20","       1666.20","       1644.80","       1648.00","       1648.00","       1652.22","    1032097","          1705251926.50","      34467","     816665","         79.13"
"INDUSINDBK","EQ","07-Nov-2017","       1648.00","       1653.00","       1673.95","       1642.50","       1659.15","       1654.30","       1658.28","    1135418","          1882839150.00","      60090","     715361","         63.00"
"INDUSINDBK","EQ","08-Nov-2017","       1654.30","       1667.00","       1689.90","       1654.60","       1675.00","       1674.40","       1676.97","    2240615","          3757445631.85","      78194","    1785210","         79.68"
"INDUSINDBK","EQ","09-Nov-2017","       1674.40","       1677.70","       1681.75","       1652.80","       1675.00","       1666.75","       1663.98","    1278030","          2126621412.50","      33976","     989544","         77.43"
"INDUSINDBK","EQ","10-Nov-2017","       1666.75","       1665.00","       1673.30","       1650.65","       1663.00","       1660.30","       1657.58","    1515793","          2512544440.90","      30972","    1201671","         79.28"
"INDUSINDBK","EQ","13-Nov-2017","       1660.30","       1665.00","       1672.50","       1647.30","       1664.00","       1659.20","       1658.32","     716930","          1188896081.20","      24131","     477709","         66.63"
"INDUSINDBK","EQ","14-Nov-2017","       1659.20","       1659.20","       1663.20","       1619.05","       1632.05","       1637.70","       1635.25","    1448013","          2367866727.65","      83605","    1080416","         74.61"
"INDUSINDBK","EQ","15-Nov-2017","       1637.70","       1632.25","       1640.75","       1593.05","       1601.90","       1597.35","       1607.95","    1725981","          2775283833.50","     104854","    1216236","         70.47"
"INDUSINDBK","EQ","16-Nov-2017","       1597.35","       1599.00","       1617.10","       1592.50","       1611.00","       1603.90","       1606.51","     903458","          1451410302.10","      53759","     528863","         58.54"
"INDUSINDBK","EQ","17-Nov-2017","       1603.90","       1632.05","       1636.60","       1615.70","       1628.60","       1631.90","       1628.08","     578398","           941677803.10","      33897","     328355","         56.77"
"INDUSINDBK","EQ","20-Nov-2017","       1631.90","       1635.25","       1659.00","       1629.85","       1648.50","       1649.30","       1651.14","    3072448","          5073046535.50","      53381","    2677387","         87.14"
"INDUSINDBK","EQ","21-Nov-2017","       1649.30","       1658.00","       1664.80","       1643.00","       1650.90","       1648.60","       1651.59","    1109357","          1832201058.50","      49686","     870383","         78.46"
"INDUSINDBK","EQ","22-Nov-2017","       1648.60","       1656.90","       1663.80","       1621.00","       1628.00","       1627.35","       1638.38","     751919","          1231927210.40","      37619","     444478","         59.11"
"INDUSINDBK","EQ","23-Nov-2017","       1627.35","       1627.50","       1654.95","       1627.50","       1642.10","       1643.35","       1642.90","     887882","          1458698382.50","      87955","     553072","         62.29"
"INDUSINDBK","EQ","24-Nov-2017","       1643.35","       1646.00","       1682.85","       1644.00","       1670.05","       1676.30","       1673.68","    1091064","          1826086904.45","      39695","     561941","         51.50"
"INDUSINDBK","EQ","27-Nov-2017","       1676.30","       1671.70","       1671.70","       1648.75","       1663.10","       1660.60","       1655.12","     746259","          1235149160.35","      37604","     523773","         70.19"
"INDUSINDBK","EQ","28-Nov-2017","       1660.60","       1661.20","       1692.00","       1661.00","       1678.00","       1678.25","       1679.82","    1333326","          2239742370.30","      59671","     835540","         62.67"
"INDUSINDBK","EQ","29-Nov-2017","       1678.25","       1679.00","       1689.95","       1666.00","       1674.05","       1672.15","       1677.09","    1121016","          1880042223.45","      45456","     706933","         63.06"
"INDUSINDBK","EQ","30-Nov-2017","       1672.15","       1662.00","       1680.00","       1654.00","       1659.10","       1661.95","       1665.70","    1743816","          2904675537.60","      48232","    1057879","         60.66"
"INDUSINDBK","EQ","01-Dec-2017","       1661.95","       1660.85","       1681.40","       1651.75","       1653.05","       1661.10","       1667.49","     901780","          1503708057.05","      27376","     576058","         63.88"
"INDUSINDBK","EQ","04-Dec-2017","       1661.10","       1665.00","       1674.75","       1648.20","       1656.00","       1650.10","       1656.24","     863386","          1429970227.30","      33210","     524422","         60.74"
"INDUSINDBK","EQ","05-Dec-2017","       1650.10","       1651.25","       1673.65","       1646.10","       1672.00","       1665.40","       1656.89","    1217660","          2017532404.95","      30738","     822482","         67.55"
