"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JSWSTEEL","EQ","23-Aug-2017","        231.95","        233.40","        240.40","        230.70","        239.70","        239.75","        235.63","    4271359","          1006439883.25","      31872","    1566184","         36.67"
"JSWSTEEL","P2","23-Aug-2017","          8.55","          8.55","          8.55","          8.55","          8.55","          8.55","          8.55","      11181","               95597.55","         31","      11181","        100.00"
"JSWSTEEL","EQ","24-Aug-2017","        239.75","        239.10","        248.30","        238.55","        245.70","        246.05","        244.03","    4460587","          1088521281.60","      33738","    1251339","         28.05"
"JSWSTEEL","P2","24-Aug-2017","          8.55","          8.55","          8.60","          8.55","          8.55","          8.55","          8.55","       5736","               49042.85","         22","       5735","         99.98"
"JSWSTEEL","EQ","28-Aug-2017","        246.05","        246.00","        247.70","        243.00","        244.50","        244.50","        245.00","    3526749","           864042930.40","      33344","    1257558","         35.66"
"JSWSTEEL","P2","28-Aug-2017","          8.55","          8.55","          8.55","          8.55","          8.55","          8.55","          8.55","      68756","              587863.80","         35","      68756","        100.00"
"JSWSTEEL","EQ","29-Aug-2017","        244.50","        245.00","        249.20","        242.15","        247.15","        246.90","        246.14","    3793852","           933808372.85","      28847","     989374","         26.08"
"JSWSTEEL","P2","29-Aug-2017","          8.55","          8.55","          8.55","          8.55","          8.55","          8.55","          8.55","       6820","               58311.00","         20","       6820","        100.00"
"JSWSTEEL","EQ","30-Aug-2017","        246.90","        249.90","        260.00","        248.50","        259.60","        259.05","        255.80","    6400191","          1637159785.85","      55690","    1634659","         25.54"
"JSWSTEEL","P2","30-Aug-2017","          8.55","          8.55","          8.60","          8.55","          8.55","          8.55","          8.56","       8641","               74005.55","         23","       8641","        100.00"
"JSWSTEEL","EQ","31-Aug-2017","        259.05","        259.20","        260.30","        253.15","        253.50","        254.40","        255.14","    7429622","          1895592512.60","      38121","    3903941","         52.55"
"JSWSTEEL","P2","31-Aug-2017","          8.55","          8.55","          8.60","          8.55","          8.55","          8.55","          8.58","      19571","              167832.05","         25","      19571","        100.00"
"JSWSTEEL","EQ","01-Sep-2017","        254.40","        255.50","        259.90","        252.40","        255.10","        256.65","        256.28","    4090265","          1048234436.45","      30979","    1154168","         28.22"
"JSWSTEEL","P2","01-Sep-2017","          8.55","          8.55","          8.55","          8.55","          8.55","          8.55","          8.55","      10780","               92169.00","         20","      10780","        100.00"
"JSWSTEEL","EQ","04-Sep-2017","        256.65","        257.35","        257.90","        248.80","        254.80","        254.80","        253.18","    2406774","           609341915.05","      19516","     244193","         10.15"
"JSWSTEEL","P2","04-Sep-2017","          8.55","          8.70","          8.70","          8.55","          8.55","          8.55","          8.62","      81786","              705296.60","         25","      74826","         91.49"
"JSWSTEEL","EQ","05-Sep-2017","        254.80","        255.15","        258.00","        253.70","        256.00","        256.25","        255.96","    2047693","           524124250.85","      14218","     509879","         24.90"
