"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LT","EQ","23-Aug-2017","       1117.70","       1120.00","       1128.85","       1114.40","       1125.00","       1124.15","       1121.01","    1710949","          1917983777.10","      68748","    1091150","         63.77"
"LT","EQ","24-Aug-2017","       1124.15","       1130.00","       1135.80","       1126.00","       1134.70","       1131.70","       1131.20","    1316100","          1488773754.80","      40707","     841798","         63.96"
"LT","EQ","28-Aug-2017","       1131.70","       1134.70","       1155.00","       1128.80","       1138.00","       1138.90","       1144.53","    1884734","          2157125968.05","      60539","     963013","         51.10"
"LT","EQ","29-Aug-2017","       1138.90","       1135.65","       1138.75","       1123.35","       1129.00","       1130.05","       1129.94","    1045267","          1181093104.10","      29992","     532652","         50.96"
"LT","EQ","30-Aug-2017","       1130.05","       1140.00","       1145.90","       1133.00","       1139.35","       1139.65","       1141.50","     895791","          1022543516.70","      40533","     447197","         49.92"
"LT","EQ","31-Aug-2017","       1139.65","       1144.00","       1145.00","       1130.50","       1134.95","       1136.30","       1136.69","    1926054","          2189329006.75","      48715","    1289992","         66.98"
"LT","EQ","01-Sep-2017","       1136.30","       1134.95","       1144.40","       1131.55","       1140.00","       1139.20","       1138.54","     976551","          1111845592.40","      30915","     530113","         54.28"
"LT","EQ","04-Sep-2017","       1139.20","       1127.95","       1138.95","       1122.00","       1128.00","       1130.65","       1129.91","    1006945","          1137757584.95","      37490","     487467","         48.41"
"LT","EQ","05-Sep-2017","       1130.65","       1131.15","       1139.00","       1122.30","       1126.45","       1126.65","       1130.08","    1110437","          1254883145.60","      26477","     559466","         50.38"
"LT","EQ","06-Sep-2017","       1126.65","       1122.00","       1126.10","       1115.90","       1118.50","       1117.60","       1120.93","     891224","           998996318.70","      31860","     483650","         54.27"
"LT","EQ","07-Sep-2017","       1117.60","       1121.10","       1130.95","       1118.25","       1129.70","       1129.10","       1125.48","    1038623","          1168952005.75","      41338","     622494","         59.93"
"LT","EQ","08-Sep-2017","       1129.10","       1137.50","       1182.00","       1134.05","       1171.70","       1172.40","       1168.32","    4947759","          5780554901.90","     149452","    2531622","         51.17"
"LT","EQ","11-Sep-2017","       1172.40","       1180.00","       1225.00","       1152.55","       1216.00","       1217.85","       1204.94","    4364705","          5259193097.90","      93241","    2339089","         53.59"
"LT","EQ","12-Sep-2017","       1217.85","       1219.50","       1234.00","       1219.50","       1227.20","       1230.25","       1226.79","    2451814","          3007855654.00","      64010","    1392028","         56.78"
