"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NTPC","EQ","23-Aug-2017","        167.70","        168.00","        171.10","        167.60","        170.80","        170.25","        169.84","    4180417","           709988394.45","      20031","    2006227","         47.99"
"NTPC","N1","23-Aug-2017","       1190.00","       1195.00","       1195.00","       1195.00","       1195.00","       1195.00","       1195.00","        350","              418250.00","          2","        350","        100.00"
"NTPC","N2","23-Aug-2017","       1325.00","       1325.00","       1325.00","       1325.00","       1325.00","       1325.00","       1325.00","          1","                1325.00","          1","          1","        100.00"
"NTPC","N3","23-Aug-2017","       1300.00","       1325.00","       1325.00","       1325.00","       1325.00","       1325.00","       1325.00","        800","             1060000.00","          1","        800","        100.00"
"NTPC","N6","23-Aug-2017","       1345.00","       1360.00","       1360.00","       1326.01","       1340.00","       1340.00","       1337.01","         47","               62839.54","          5","         26","         55.32"
"NTPC","N7","23-Aug-2017","         13.55","         13.51","         13.58","         13.51","         13.56","         13.56","         13.55","      26283","              356200.44","        112","      23439","         89.18"
"NTPC","ND","23-Aug-2017","       1230.00","       1220.00","       1230.00","       1210.25","       1220.00","       1220.00","       1220.01","         50","               61000.25","          4","         50","        100.00"
"NTPC","EQ","24-Aug-2017","        170.25","        171.00","        171.60","        168.25","        169.70","        169.00","        169.58","    4966410","           842195919.30","      16951","    2784028","         56.06"
"NTPC","N1","24-Aug-2017","       1195.00","       1190.00","       1200.00","       1190.00","       1190.00","       1195.55","       1193.85","        650","              776000.00","          3","        650","        100.00"
"NTPC","N3","24-Aug-2017","       1325.00","       1310.00","       1320.00","       1310.00","       1320.00","       1320.00","       1315.00","       2000","             2630000.00","          2","       2000","        100.00"
"NTPC","N6","24-Aug-2017","       1340.00","       1360.00","       1360.00","       1345.00","       1345.00","       1345.00","       1352.50","          2","                2705.00","          2","          1","         50.00"
"NTPC","N7","24-Aug-2017","         13.56","         13.50","         13.58","         13.50","         13.56","         13.56","         13.56","      22287","              302233.93","         95","      20817","         93.40"
"NTPC","ND","24-Aug-2017","       1220.00","       1234.90","       1235.00","       1230.00","       1235.00","       1230.35","       1234.08","        428","              528187.60","          5","        278","         64.95"
"NTPC","EQ","28-Aug-2017","        169.00","        169.70","        174.00","        169.70","        173.05","        173.30","        172.61","    5203237","           898110544.25","      34722","    2764204","         53.12"
"NTPC","N3","28-Aug-2017","       1320.00","       1315.00","       1325.00","       1315.00","       1325.00","       1325.00","       1320.00","       2000","             2640000.00","          2","       2000","        100.00"
"NTPC","N4","28-Aug-2017","       1221.00","       1201.00","       1212.00","       1201.00","       1212.00","       1212.00","       1208.21","        145","              175190.00","          2","        145","        100.00"
"NTPC","N6","28-Aug-2017","       1345.00","       1360.00","       1360.00","       1359.99","       1359.99","       1359.99","       1360.00","          6","                8159.97","          3","          6","        100.00"
"NTPC","N7","28-Aug-2017","         13.56","         13.00","         13.59","         13.00","         13.56","         13.57","         13.55","      26385","              357632.58","        129","      23356","         88.52"
"NTPC","NC","28-Aug-2017","       1170.00","       1145.20","       1145.20","       1145.20","       1145.20","       1145.20","       1145.20","          2","                2290.40","          1","          2","        100.00"
"NTPC","ND","28-Aug-2017","       1230.35","       1230.00","       1230.00","       1225.00","       1230.00","       1226.21","       1226.23","        207","              253830.00","          6","        207","        100.00"
"NTPC","EQ","29-Aug-2017","        173.30","        166.25","        168.90","        166.10","        168.25","        168.40","        168.05","   21689918","          3644996838.75","      55216","   13399977","         61.78"
"NTPC","N6","29-Aug-2017","       1359.99","       1355.00","       1355.00","       1327.10","       1351.00","       1351.00","       1352.03","        305","              412369.20","          7","        305","        100.00"
"NTPC","N7","29-Aug-2017","         13.57","         13.56","         13.60","         13.52","         13.57","         13.57","         13.56","      70245","              952704.24","         98","      69373","         98.76"
"NTPC","N9","29-Aug-2017","       1150.00","       1140.00","       1140.00","       1140.00","       1140.00","       1140.00","       1140.00","        126","              143640.00","          4","        100","         79.37"
"NTPC","EQ","30-Aug-2017","        168.40","        166.00","        171.35","        165.75","        167.80","        167.95","        168.88","   20715128","          3498407572.15","      80883","   12894273","         62.25"
"NTPC","N6","30-Aug-2017","       1351.00","       1360.00","       1440.90","       1340.00","       1345.00","       1345.00","       1361.43","        114","              155202.70","         10","        114","        100.00"
"NTPC","N7","30-Aug-2017","         13.57","         13.50","         13.58","         13.50","         13.56","         13.56","         13.56","      31992","              433761.16","        126","      31992","        100.00"
"NTPC","ND","30-Aug-2017","       1226.21","       1246.80","       1246.80","       1246.80","       1246.80","       1246.80","       1246.80","         25","               31170.00","          1","         25","        100.00"
"NTPC","EQ","31-Aug-2017","        167.95","        164.00","        169.20","        163.75","        168.45","        168.75","        166.79","   83350065","         13902129063.75","     157814","   57599217","         69.11"
"NTPC","N2","31-Aug-2017","       1325.00","       1325.00","       1325.00","       1325.00","       1325.00","       1325.00","       1325.00","          1","                1325.00","          1","          1","        100.00"
"NTPC","N4","31-Aug-2017","       1212.00","       1215.00","       1227.50","       1215.00","       1227.50","       1223.21","       1221.33","        306","              373727.50","          5","        306","        100.00"
"NTPC","N5","31-Aug-2017","       1270.00","       1289.99","       1289.99","       1289.99","       1289.99","       1289.99","       1289.99","         20","               25799.80","          3","         20","        100.00"
"NTPC","N6","31-Aug-2017","       1345.00","       1359.98","       1359.98","       1359.98","       1359.98","       1359.98","       1359.98","        105","              142797.90","          3","        105","        100.00"
"NTPC","N7","31-Aug-2017","         13.56","         13.51","         13.60","         13.51","         13.59","         13.59","         13.59","     275592","             3744909.98","        124","     273713","         99.32"
"NTPC","NC","31-Aug-2017","       1145.20","       1151.25","       1151.25","       1151.25","       1151.25","       1151.25","       1151.25","         10","               11512.50","          1","         10","        100.00"
"NTPC","ND","31-Aug-2017","       1246.80","       1205.00","       1242.50","       1205.00","       1242.50","       1242.50","       1223.75","         18","               22027.50","          2","          9","         50.00"
"NTPC","EQ","01-Sep-2017","        168.75","        167.45","        168.90","        166.75","        168.10","        168.25","        168.02","    5339713","           897199725.10","      32934","    3550715","         66.50"
"NTPC","N6","01-Sep-2017","       1359.98","       1359.94","       1359.94","       1359.94","       1359.94","       1359.94","       1359.94","          4","                5439.76","          2","          4","        100.00"
