"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ONGC","EQ","23-Aug-2017","        159.45","        160.40","        160.75","        159.25","        159.90","        159.70","        159.88","    2344934","           374913306.85","      16767","    1134979","         48.40"
"ONGC","EQ","24-Aug-2017","        159.70","        160.40","        160.40","        159.05","        159.40","        159.45","        159.69","    3724532","           594755219.35","      40514","    2540893","         68.22"
"ONGC","EQ","28-Aug-2017","        159.45","        160.40","        161.40","        159.60","        160.30","        160.60","        160.42","    3680139","           590372444.55","      30789","    2413500","         65.58"
"ONGC","EQ","29-Aug-2017","        160.60","        160.00","        160.00","        157.00","        157.30","        157.25","        158.34","    7756416","          1228116262.20","      44985","    5235052","         67.49"
"ONGC","EQ","30-Aug-2017","        157.25","        158.40","        159.10","        157.65","        158.70","        158.40","        158.23","    5219322","           825834538.30","      36804","    3452143","         66.14"
"ONGC","EQ","31-Aug-2017","        158.40","        160.60","        160.65","        156.05","        156.90","        156.95","        157.28","   16715886","          2629107724.25","      63301","    9864178","         59.01"
"ONGC","EQ","01-Sep-2017","        156.95","        158.00","        160.40","        157.30","        160.05","        159.95","        159.47","    6511029","          1038315883.50","      27593","    4122243","         63.31"
"ONGC","EQ","04-Sep-2017","        159.95","        160.40","        162.30","        159.10","        161.40","        161.80","        160.98","    4859269","           782236566.10","      42981","    2115782","         43.54"
"ONGC","EQ","05-Sep-2017","        161.80","        163.00","        163.65","        161.40","        162.60","        162.80","        162.63","    5823055","           947023871.20","      52798","    2898261","         49.77"
"ONGC","EQ","06-Sep-2017","        162.80","        162.40","        163.80","        161.90","        162.20","        162.30","        163.14","    3791076","           618463908.95","      43611","    2043863","         53.91"
"ONGC","EQ","07-Sep-2017","        162.30","        163.20","        163.20","        161.60","        162.10","        162.30","        162.32","    9101357","          1477337926.05","      77757","    7147607","         78.53"
"ONGC","EQ","08-Sep-2017","        162.30","        162.40","        163.30","        159.35","        162.00","        161.85","        161.52","   10505052","          1696820865.75","      89058","    6186505","         58.89"
"ONGC","EQ","11-Sep-2017","        161.85","        162.30","        163.90","        161.00","        162.90","        163.05","        162.04","    9449161","          1531146550.15","      47503","    6888015","         72.90"
"ONGC","EQ","12-Sep-2017","        163.05","        163.10","        163.50","        161.50","        162.05","        162.30","        162.11","   10536298","          1708027035.00","      80852","    7907998","         75.05"
"ONGC","EQ","13-Sep-2017","        162.30","        162.10","        162.80","        160.85","        161.30","        161.05","        162.10","    7006941","          1135793287.20","      32525","    3391781","         48.41"
"ONGC","EQ","14-Sep-2017","        161.05","        161.50","        162.50","        158.25","        159.50","        159.35","        160.12","   15371676","          2461311899.50","      54556","   11178237","         72.72"
"ONGC","EQ","15-Sep-2017","        159.35","        159.50","        167.85","        159.00","        166.25","        166.75","        165.57","   25453536","          4214264858.55","     159197","   14749279","         57.95"
"ONGC","EQ","18-Sep-2017","        166.75","        167.05","        167.95","        164.80","        165.25","        165.20","        165.81","    8383548","          1390054387.80","      37924","    5204795","         62.08"
"ONGC","EQ","19-Sep-2017","        165.20","        163.80","        166.55","        163.75","        166.00","        165.90","        165.31","    7052113","          1165809737.25","      46052","    4482368","         63.56"
"ONGC","EQ","20-Sep-2017","        165.90","        167.00","        170.90","        164.50","        167.95","        167.70","        168.29","   12062311","          2029981354.90","      63378","    4327600","         35.88"
"ONGC","EQ","21-Sep-2017","        167.70","        167.70","        168.20","        163.75","        165.75","        165.90","        165.73","    7198883","          1193074313.20","      47756","    4246626","         58.99"
"ONGC","EQ","22-Sep-2017","        165.90","        165.30","        165.30","        163.30","        164.50","        164.45","        164.29","   10308999","          1693651375.60","      36323","    7367018","         71.46"
"ONGC","EQ","25-Sep-2017","        164.45","        163.90","        165.30","        161.05","        164.60","        164.80","        163.37","    8935570","          1459784678.95","      48462","    6025406","         67.43"
"ONGC","EQ","26-Sep-2017","        164.80","        166.10","        172.50","        166.10","        170.30","        171.40","        170.28","   19866213","          3382783334.00","     146026","    8544567","         43.01"
