"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"POWERGRID","EQ","23-Aug-2017","        219.50","        219.60","        220.80","        217.65","        219.35","        219.75","        219.46","    2988440","           655857531.70","      75797","    2036700","         68.15"
"POWERGRID","EQ","24-Aug-2017","        219.75","        219.50","        222.20","        219.05","        220.00","        220.95","        221.08","    3089395","           682998440.65","      38240","    2330826","         75.45"
"POWERGRID","EQ","28-Aug-2017","        220.95","        220.90","        220.90","        216.65","        217.30","        217.10","        217.85","    5486618","          1195248565.95","      67244","    4169074","         75.99"
"POWERGRID","EQ","29-Aug-2017","        217.10","        217.30","        218.55","        213.80","        215.60","        215.30","        216.91","    6882489","          1492852473.15","      50393","    5498424","         79.89"
"POWERGRID","EQ","30-Aug-2017","        215.30","        216.85","        217.45","        214.25","        215.30","        215.60","        215.59","    5238874","          1129468983.15","      58682","    3665879","         69.97"
"POWERGRID","EQ","31-Aug-2017","        215.60","        216.25","        220.00","        215.05","        218.55","        219.25","        218.13","    4580828","           999226056.55","      34700","    3244755","         70.83"
"POWERGRID","EQ","01-Sep-2017","        219.25","        218.70","        218.70","        215.80","        216.25","        216.50","        216.87","    4952002","          1073917876.90","      35267","    3793950","         76.61"
"POWERGRID","EQ","04-Sep-2017","        216.50","        216.60","        219.25","        212.80","        216.40","        217.60","        216.54","    3509861","           760018477.35","      31701","    2015967","         57.44"
"POWERGRID","EQ","05-Sep-2017","        217.60","        217.50","        217.60","        215.90","        216.10","        216.20","        216.45","    2214898","           479422860.25","      30755","    1744618","         78.77"
"POWERGRID","EQ","06-Sep-2017","        216.20","        215.00","        216.05","        213.00","        214.50","        214.30","        214.07","    2700125","           578024245.35","      36387","    1772820","         65.66"
"POWERGRID","EQ","07-Sep-2017","        214.30","        215.50","        216.15","        213.55","        215.90","        215.90","        215.21","    2817337","           606319645.20","      26734","    2015149","         71.53"
"POWERGRID","EQ","08-Sep-2017","        215.90","        216.20","        216.65","        212.40","        212.80","        213.10","        213.93","    4831200","          1033536799.95","      33971","    4069812","         84.24"
"POWERGRID","EQ","11-Sep-2017","        213.10","        211.00","        216.00","        210.65","        215.80","        215.60","        213.71","    3490415","           745941425.65","      26562","    2091868","         59.93"
"POWERGRID","EQ","12-Sep-2017","        215.60","        215.60","        216.30","        214.30","        214.50","        215.30","        215.50","    2422839","           522110243.45","      21361","    1634985","         67.48"
"POWERGRID","EQ","13-Sep-2017","        215.30","        215.30","        216.10","        213.00","        213.30","        213.75","        214.29","    2069873","           443549531.70","      22635","    1429284","         69.05"
"POWERGRID","EQ","14-Sep-2017","        213.75","        213.30","        216.00","        212.65","        214.00","        213.95","        214.21","    3821197","           818552672.85","      28920","    2524618","         66.07"
"POWERGRID","EQ","15-Sep-2017","        213.95","        212.70","        213.45","        208.10","        212.40","        212.50","        210.63","    5093127","          1072755316.60","      42665","    2694069","         52.90"
