"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","23-Aug-2017","        273.90","        274.75","        279.70","        274.20","        278.70","        279.00","        276.96","   11317821","          3134574760.55","      85694","    3832037","         33.86"
"SBIN","N2","23-Aug-2017","      11299.00","      11250.00","      11250.00","      11250.00","      11250.00","      11250.00","      11250.00","         27","              303750.00","          2","         27","        100.00"
"SBIN","N5","23-Aug-2017","      11375.38","      11900.00","      11900.00","      11310.00","      11350.00","      11352.96","      11480.88","        833","             9563576.84","         87","        782","         93.88"
"SBIN","N6","23-Aug-2017","      11095.00","      10500.00","      10500.00","      10500.00","      10500.00","      10500.00","      10500.00","          1","               10500.00","          1","          1","        100.00"
"SBIN","EQ","24-Aug-2017","        279.00","        279.70","        281.45","        277.50","        280.10","        280.30","        279.39","   14138226","          3950052179.10","      79977","    4197565","         29.69"
"SBIN","N2","24-Aug-2017","      11250.00","      11200.05","      11200.05","      11200.00","      11200.00","      11200.00","      11200.00","         48","              537600.15","          4","         48","        100.00"
"SBIN","N5","24-Aug-2017","      11352.96","      11350.00","      11380.00","      11341.00","      11342.10","      11363.64","      11362.39","        247","             2806511.10","         71","        244","         98.79"
"SBIN","N6","24-Aug-2017","      10500.00","      11199.93","      11199.93","      11120.00","      11120.00","      11120.00","      11181.48","         13","              145359.30","          2","         13","        100.00"
"SBIN","EQ","28-Aug-2017","        280.30","        282.10","        282.10","        279.00","        279.30","        279.35","        280.12","   10505317","          2942781638.75","      82169","    4828195","         45.96"
"SBIN","N2","28-Aug-2017","      11200.00","      11375.00","      11375.00","      11250.00","      11250.00","      11250.00","      11279.17","          6","               67675.00","          3","          5","         83.33"
"SBIN","N5","28-Aug-2017","      11363.64","      11380.00","      11399.99","      11311.00","      11347.00","      11350.68","      11352.63","        317","             3598783.95","         59","        299","         94.32"
"SBIN","N6","28-Aug-2017","      11120.00","      11460.00","      11460.00","      11460.00","      11460.00","      11460.00","      11460.00","          1","               11460.00","          1","          1","        100.00"
"SBIN","EQ","29-Aug-2017","        279.35","        278.45","        280.85","        276.05","        276.35","        277.00","        278.35","   10335964","          2877033744.40","      64945","    3321889","         32.14"
"SBIN","N2","29-Aug-2017","      11250.00","      11165.05","      11240.00","      11165.05","      11221.00","      11221.66","      11211.80","         77","              863308.31","         16","         64","         83.12"
"SBIN","N5","29-Aug-2017","      11350.68","      11370.00","      11370.00","      11345.35","      11350.00","      11351.99","      11354.00","        477","             5415860.11","         58","        457","         95.81"
"SBIN","EQ","30-Aug-2017","        277.00","        278.00","        279.25","        276.00","        276.65","        276.60","        277.80","    7648702","          2124785336.65","      58622","    2953915","         38.62"
"SBIN","N2","30-Aug-2017","      11221.66","      11250.00","      11280.00","      11250.00","      11280.00","      11280.00","      11251.15","         26","              292530.00","          7","         26","        100.00"
"SBIN","N5","30-Aug-2017","      11351.99","      11360.00","      11365.00","      11342.35","      11365.00","      11358.60","      11357.13","        627","             7120920.63","         63","        627","        100.00"
"SBIN","EQ","31-Aug-2017","        276.60","        276.85","        279.50","        274.20","        278.50","        277.75","        276.43","   14222467","          3931452220.70","      87936","    7112949","         50.01"
