"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAMOTORS","EQ","23-Aug-2017","        373.60","        376.00","        381.15","        373.35","        380.60","        379.95","        378.33","    4448871","          1683161679.95","      73627","    1867006","         41.97"
"TATAMOTORS","EQ","24-Aug-2017","        379.95","        380.10","        385.95","        380.10","        385.20","        384.15","        383.93","    5208541","          1999723000.25","      90986","    2581637","         49.57"
"TATAMOTORS","EQ","28-Aug-2017","        384.15","        385.85","        387.40","        378.30","        380.00","        379.30","        380.87","    4403872","          1677314650.60","      75223","    2506221","         56.91"
"TATAMOTORS","EQ","29-Aug-2017","        379.30","        379.00","        382.35","        374.45","        375.55","        376.10","        377.94","    4689547","          1772345121.85","      64691","    2073536","         44.22"
"TATAMOTORS","EQ","30-Aug-2017","        376.10","        380.85","        382.75","        377.45","        379.00","        378.50","        379.91","    3734824","          1418909663.00","      52649","    1655675","         44.33"
"TATAMOTORS","EQ","31-Aug-2017","        378.50","        380.05","        380.45","        375.80","        377.00","        376.55","        377.34","    4685511","          1768053568.70","      61335","    2596186","         55.41"
"TATAMOTORS","EQ","01-Sep-2017","        376.55","        379.35","        392.85","        378.65","        391.00","        390.85","        385.29","    7380325","          2843583566.90","     101848","    3116330","         42.22"
"TATAMOTORS","EQ","04-Sep-2017","        390.85","        393.00","        396.05","        380.50","        384.20","        383.40","        386.93","    8433560","          3263202502.75","     102810","    3465896","         41.10"
"TATAMOTORS","EQ","05-Sep-2017","        383.40","        385.70","        389.50","        383.40","        389.10","        388.15","        386.12","    4477993","          1729027454.60","      44114","    2056326","         45.92"
"TATAMOTORS","EQ","06-Sep-2017","        388.15","        385.00","        386.70","        381.85","        382.75","        382.70","        383.91","    5953907","          2285736261.55","      57943","    3361898","         56.47"
"TATAMOTORS","EQ","07-Sep-2017","        382.70","        383.70","        384.40","        376.00","        378.25","        378.15","        378.60","    7938665","          3005541498.80","     117544","    4933655","         62.15"
"TATAMOTORS","EQ","08-Sep-2017","        378.15","        381.00","        381.80","        374.05","        375.10","        375.05","        377.03","    7471355","          2816940949.50","      81319","    3736346","         50.01"
"TATAMOTORS","EQ","11-Sep-2017","        375.05","        380.00","        380.00","        374.20","        375.00","        375.30","        376.77","    5402725","          2035571939.05","      59463","    3622510","         67.05"
"TATAMOTORS","EQ","12-Sep-2017","        375.30","        378.70","        390.00","        375.50","        388.55","        388.25","        382.86","    9266823","          3547883699.65","     109246","    4921192","         53.11"
"TATAMOTORS","EQ","13-Sep-2017","        388.25","        391.00","        393.95","        387.20","        389.95","        389.65","        390.91","    6537279","          2555479907.10","      76859","    2284278","         34.94"
"TATAMOTORS","EQ","14-Sep-2017","        389.65","        390.75","        406.60","        390.25","        403.80","        404.40","        399.18","   11476571","          4581218468.35","     107774","    4907676","         42.76"
"TATAMOTORS","EQ","15-Sep-2017","        404.40","        402.85","        406.75","        400.00","        402.00","        401.75","        402.68","    9675506","          3896160514.15","     102079","    4160621","         43.00"
