"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","23-Aug-2017","        619.60","        624.00","        636.45","        616.50","        635.25","        634.60","        624.54","    3918843","          2447481393.90","      51548","     933132","         23.81"
"TATASTEEL","EQ","24-Aug-2017","        634.60","        636.00","        640.55","        630.60","        638.80","        639.00","        636.55","    4909312","          3125024529.85","      81328","    1504230","         30.64"
"TATASTEEL","EQ","28-Aug-2017","        639.00","        640.15","        642.90","        631.80","        634.75","        635.85","        637.47","    3565779","          2273063984.75","      81231","    1256035","         35.22"
"TATASTEEL","EQ","29-Aug-2017","        635.85","        635.50","        640.45","        627.95","        629.65","        630.20","        634.11","    3443278","          2183416918.65","      50623","    1015539","         29.49"
"TATASTEEL","EQ","30-Aug-2017","        630.20","        635.00","        641.40","        634.10","        637.60","        638.65","        637.73","    3524171","          2247477334.50","      63257","    1234702","         35.04"
"TATASTEEL","EQ","31-Aug-2017","        638.65","        636.95","        643.00","        632.20","        638.00","        638.05","        637.80","    6514220","          4154765333.80","      62453","    2772421","         42.56"
"TATASTEEL","EQ","01-Sep-2017","        638.05","        639.95","        652.75","        639.05","        650.90","        651.20","        647.04","    6152375","          3980820217.25","      87392","    2194150","         35.66"
"TATASTEEL","EQ","04-Sep-2017","        651.20","        651.00","        651.70","        641.50","        646.75","        646.55","        646.66","    2411324","          1559312244.85","      38651","     485776","         20.15"
"TATASTEEL","EQ","05-Sep-2017","        646.55","        647.65","        654.45","        647.25","        652.05","        652.10","        652.09","    3168850","          2066387824.10","      52615","    1146624","         36.18"
"TATASTEEL","EQ","06-Sep-2017","        652.10","        647.10","        656.10","        645.50","        653.70","        653.00","        650.92","    2726474","          1774717030.90","      56088","     894148","         32.80"
"TATASTEEL","EQ","07-Sep-2017","        653.00","        657.00","        657.00","        650.30","        652.85","        652.80","        653.10","    2504395","          1635626260.50","      51716","     893775","         35.69"
"TATASTEEL","EQ","08-Sep-2017","        652.80","        654.10","        663.70","        651.85","        652.25","        655.40","        658.90","    4712247","          3104888980.40","      69102","    1061393","         22.52"
"TATASTEEL","EQ","11-Sep-2017","        655.40","        657.00","        663.85","        652.60","        663.00","        662.60","        659.58","    3208849","          2116489636.80","      59178","    1092938","         34.06"
"TATASTEEL","EQ","12-Sep-2017","        662.60","        675.00","        693.00","        674.50","        680.90","        682.90","        685.13","   10312267","          7065192697.10","     145487","    3618283","         35.09"
"TATASTEEL","EQ","13-Sep-2017","        682.90","        681.75","        683.80","        675.65","        681.25","        679.65","        679.40","    2353272","          1598815860.70","      45176","     703239","         29.88"
"TATASTEEL","EQ","14-Sep-2017","        679.65","        679.50","        683.65","        672.10","        677.70","        677.70","        678.38","    1906013","          1292993085.70","      32824","     377203","         19.79"
"TATASTEEL","EQ","15-Sep-2017","        677.70","        676.00","        681.40","        671.55","        677.00","        678.95","        677.31","    3241869","          2195744852.55","      54110","    1326930","         40.93"
"TATASTEEL","EQ","18-Sep-2017","        678.95","        676.00","        683.00","        671.10","        671.55","        672.90","        674.90","    2293247","          1547721436.50","      41187","     697967","         30.44"
"TATASTEEL","EQ","19-Sep-2017","        672.90","        673.70","        681.35","        673.00","        676.65","        676.40","        675.60","    3708821","          2505686255.45","      38109","    1773281","         47.81"
"TATASTEEL","EQ","20-Sep-2017","        676.40","        676.20","        691.80","        674.45","        687.45","        687.65","        684.72","    8780970","          6012532746.90","     114376","    2850264","         32.46"
"TATASTEEL","EQ","21-Sep-2017","        687.65","        693.80","        696.25","        681.20","        686.35","        687.10","        689.32","    6132440","          4227191347.85","      83779","    1390227","         22.67"
"TATASTEEL","EQ","22-Sep-2017","        687.10","        684.00","        684.00","        651.00","        654.40","        654.00","        666.25","    4418928","          2944093346.90","      60903","    1057199","         23.92"
"TATASTEEL","EQ","25-Sep-2017","        654.00","        655.00","        655.20","        623.10","        642.30","        639.75","        636.87","    7063975","          4498827391.20","      99650","    2156444","         30.53"
"TATASTEEL","EQ","26-Sep-2017","        639.75","        642.50","        657.00","        638.85","        655.00","        654.10","        649.72","    3948737","          2565588571.50","      74693","     729704","         18.48"
"TATASTEEL","EQ","27-Sep-2017","        654.10","        660.00","        660.00","        643.05","        650.00","        649.35","        649.16","    4959812","          3219689525.75","      68684","    1667545","         33.62"
"TATASTEEL","EQ","28-Sep-2017","        649.35","        652.90","        656.50","        642.65","        648.25","        649.70","        649.55","    6579011","          4273381755.50","      64693","    3957155","         60.15"
"TATASTEEL","EQ","29-Sep-2017","        649.70","        654.80","        657.00","        650.05","        652.50","        652.55","        653.67","    2838861","          1855667913.15","      61515","    1117907","         39.38"
"TATASTEEL","EQ","03-Oct-2017","        652.55","        656.50","        665.90","        656.50","        660.65","        660.80","        660.40","    2849961","          1882120553.10","      31898","    1043449","         36.61"
"TATASTEEL","EQ","04-Oct-2017","        660.80","        660.40","        662.55","        654.45","        659.70","        659.00","        659.63","    2784555","          1836786940.55","      29648","     830485","         29.82"
"TATASTEEL","EQ","05-Oct-2017","        659.00","        658.00","        665.35","        657.45","        660.70","        661.00","        662.30","    1552614","          1028289196.25","      29504","     477536","         30.76"
"TATASTEEL","EQ","06-Oct-2017","        661.00","        665.25","        693.80","        665.05","        693.55","        691.45","        685.06","    9464812","          6483917512.60","      98910","    1307903","         13.82"
"TATASTEEL","EQ","09-Oct-2017","        691.45","        693.00","        704.40","        691.60","        696.55","        697.25","        698.88","    5619102","          3927087388.45","      84324","    1311936","         23.35"
