"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","23-Aug-2017","        439.35","        440.00","        444.25","        427.50","        431.70","        430.20","        432.72","    1576891","           682359823.10","      40673","     498040","         31.58"
"TECHM","EQ","24-Aug-2017","        430.20","        432.00","        438.00","        425.60","        427.15","        427.70","        432.91","    2607190","          1128689117.05","      59791","    1436979","         55.12"
"TECHM","EQ","28-Aug-2017","        427.70","        427.15","        436.00","        426.45","        427.80","        427.75","        430.58","    1888194","           813026522.45","      58620","     998733","         52.89"
"TECHM","EQ","29-Aug-2017","        427.75","        429.95","        433.95","        423.00","        433.00","        431.75","        427.13","    3282938","          1402249513.00","      89650","    2287476","         69.68"
"TECHM","EQ","30-Aug-2017","        431.75","        434.00","        436.00","        425.05","        425.80","        425.75","        427.50","    2380800","          1017786451.20","      60265","    1634096","         68.64"
"TECHM","EQ","31-Aug-2017","        425.75","        428.25","        432.50","        426.20","        427.40","        428.15","        428.73","    3782413","          1621642502.85","      77358","    2296617","         60.72"
"TECHM","EQ","01-Sep-2017","        428.15","        429.00","        430.25","        422.60","        424.00","        423.40","        425.44","    1242275","           528510959.25","      22248","     755135","         60.79"
"TECHM","EQ","04-Sep-2017","        423.40","        425.00","        428.70","        410.55","        416.80","        416.10","        416.53","    3250373","          1353865301.40","      39273","    1676952","         51.59"
"TECHM","EQ","05-Sep-2017","        416.10","        418.70","        430.60","        418.05","        427.00","        427.85","        426.68","    3651996","          1558226217.85","      39784","    1918396","         52.53"
"TECHM","EQ","06-Sep-2017","        427.85","        425.10","        427.20","        421.00","        424.60","        424.60","        424.54","    1553072","           659344260.15","      24633","     937300","         60.35"
"TECHM","EQ","07-Sep-2017","        424.60","        426.50","        429.90","        423.15","        425.60","        426.05","        426.33","     983408","           419254762.15","      22468","     588759","         59.87"
"TECHM","EQ","08-Sep-2017","        426.05","        426.05","        431.70","        426.05","        431.00","        430.80","        429.77","    1434311","           616424432.10","      20825","     812878","         56.67"
"TECHM","EQ","11-Sep-2017","        430.80","        435.00","        442.50","        433.80","        442.00","        441.50","        439.73","    2373479","          1043681442.90","      43686","    1525021","         64.25"
"TECHM","EQ","12-Sep-2017","        441.50","        443.00","        443.95","        434.00","        442.15","        441.40","        438.04","    1357481","           594627742.90","      28087","     762894","         56.20"
"TECHM","EQ","13-Sep-2017","        441.40","        441.15","        453.70","        437.30","        440.65","        440.80","        445.61","    2339372","          1042436026.00","      40590","    1097804","         46.93"
"TECHM","EQ","14-Sep-2017","        440.80","        441.00","        443.00","        436.10","        442.50","        441.40","        440.29","    1048243","           461530126.85","      29843","     437055","         41.69"
"TECHM","EQ","15-Sep-2017","        441.40","        437.35","        447.90","        437.35","        443.95","        444.30","        444.44","    1959478","           870871616.65","      41776","    1228351","         62.69"
"TECHM","EQ","18-Sep-2017","        444.30","        444.00","        451.35","        443.30","        446.45","        445.10","        447.67","    1034355","           463049434.40","      28707","     491285","         47.50"
"TECHM","EQ","19-Sep-2017","        445.10","        445.90","        449.00","        442.50","        448.95","        447.75","        446.11","    1001757","           446892727.55","      22643","     450593","         44.98"
"TECHM","EQ","20-Sep-2017","        447.75","        450.00","        450.00","        445.00","        448.30","        448.90","        447.53","     755469","           338092445.95","      13361","     421571","         55.80"
"TECHM","EQ","21-Sep-2017","        448.90","        449.00","        461.70","        448.70","        460.20","        460.25","        455.38","    2189490","           997042520.10","      38440","    1123547","         51.32"
"TECHM","EQ","22-Sep-2017","        460.25","        457.50","        464.25","        453.00","        457.60","        458.40","        458.36","    2254484","          1033371473.20","      31974","    1361469","         60.39"
"TECHM","EQ","25-Sep-2017","        458.40","        455.25","        462.45","        449.15","        451.00","        451.95","        452.97","    2490162","          1127961189.15","      49035","    1920799","         77.14"
"TECHM","EQ","26-Sep-2017","        451.95","        452.00","        454.15","        441.50","        446.45","        447.35","        445.98","     886702","           395447052.10","      26734","     387126","         43.66"
"TECHM","EQ","27-Sep-2017","        447.35","        449.00","        458.00","        443.70","        450.00","        449.95","        451.64","    1908788","           862076553.05","      27456","     917667","         48.08"
"TECHM","EQ","28-Sep-2017","        449.95","        450.00","        458.35","        447.35","        449.00","        454.45","        453.34","    3555144","          1611673245.60","      44433","    2509654","         70.59"
"TECHM","EQ","29-Sep-2017","        454.45","        454.00","        459.35","        449.55","        457.60","        457.85","        454.73","    1412345","           642230242.05","      29996","     725477","         51.37"
"TECHM","EQ","03-Oct-2017","        457.85","        456.80","        466.80","        456.00","        461.10","        463.30","        462.90","    1901932","           880405800.75","      44250","    1146204","         60.27"
"TECHM","EQ","04-Oct-2017","        463.30","        465.05","        468.50","        463.35","        465.25","        465.05","        465.75","    1673214","           779304598.20","      22724","     943763","         56.40"
"TECHM","EQ","05-Oct-2017","        465.05","        464.50","        464.70","        448.55","        450.00","        450.95","        454.91","    1237068","           562759109.45","      17882","     482971","         39.04"
"TECHM","EQ","06-Oct-2017","        450.95","        454.40","        458.10","        447.00","        458.10","        456.85","        452.70","    1130586","           511819538.85","      30721","     534361","         47.26"
"TECHM","EQ","09-Oct-2017","        456.85","        454.00","        464.00","        454.00","        463.70","        463.30","        461.37","     997113","           460042782.85","      19685","     465790","         46.71"
"TECHM","EQ","10-Oct-2017","        463.30","        463.00","        467.80","        461.40","        465.75","        466.30","        464.40","    1559112","           724051143.00","      24373","    1075480","         68.98"
"TECHM","EQ","11-Oct-2017","        466.30","        464.00","        469.90","        461.60","        466.30","        467.25","        465.80","    1624889","           756880947.10","      25455","     952864","         58.64"
