"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VEDL","EQ","23-Aug-2017","        293.05","        296.70","        300.95","        291.65","        300.10","        299.60","        295.57","    8674950","          2564049987.80","      55318","    2206169","         25.43"
"VEDL","P1","23-Aug-2017","         10.15","         10.10","         10.20","         10.10","         10.10","         10.10","         10.15","   57566495","           584032293.55","        560","   57284774","         99.51"
"VEDL","EQ","24-Aug-2017","        299.60","        302.70","        303.00","        295.75","        298.95","        298.55","        298.98","   10177654","          3042904076.70","      72208","    4152381","         40.80"
"VEDL","P1","24-Aug-2017","         10.10","         10.15","         10.15","         10.10","         10.15","         10.10","         10.15","    2049258","            20791447.70","        161","    2042025","         99.65"
"VEDL","EQ","28-Aug-2017","        298.55","        301.10","        302.35","        297.20","        301.90","        301.35","        300.06","    9151882","          2746080958.45","      80320","    4176641","         45.64"
"VEDL","P1","28-Aug-2017","         10.10","         10.10","         10.15","         10.10","         10.10","         10.10","         10.11","    2353146","            23790603.10","        735","    2345106","         99.66"
"VEDL","EQ","29-Aug-2017","        301.35","        303.10","        305.50","        297.35","        298.45","        299.05","        301.17","   10967755","          3303144482.65","      65812","    3592390","         32.75"
"VEDL","P1","29-Aug-2017","         10.10","         10.10","         10.15","         10.10","         10.10","         10.10","         10.11","    1131825","            11447871.10","        131","     838772","         74.11"
"VEDL","EQ","30-Aug-2017","        299.05","        301.00","        306.45","        301.00","        305.65","        305.55","        305.01","    7689067","          2345265229.65","      55123","    2098189","         27.29"
"VEDL","P1","30-Aug-2017","         10.10","         10.10","         10.15","         10.10","         10.10","         10.10","         10.10","    1043977","            10547548.90","        147","    1043950","        100.00"
"VEDL","EQ","31-Aug-2017","        305.55","        305.35","        310.00","        300.90","        308.80","        308.90","        306.61","   14987864","          4595411061.50","      89794","    7446881","         49.69"
"VEDL","P1","31-Aug-2017","         10.10","         10.10","         10.20","         10.10","         10.20","         10.20","         10.19","   19050453","           194103471.65","        167","   16350574","         85.83"
"VEDL","EQ","01-Sep-2017","        308.90","        310.05","        315.75","        308.35","        315.00","        314.95","        312.32","   10094384","          3152709484.50","      64001","    3147393","         31.18"
"VEDL","P1","01-Sep-2017","         10.20","         10.20","         10.20","         10.15","         10.20","         10.20","         10.20","   23915288","           243883741.75","        206","   23414887","         97.91"
"VEDL","EQ","04-Sep-2017","        314.95","        315.80","        319.00","        308.40","        315.70","        315.80","        314.60","    9268378","          2915864124.20","      63018","    1580802","         17.06"
