"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZEEL","EQ","23-Aug-2017","        516.45","        516.50","        519.50","        508.00","        515.20","        514.90","        511.79","    1323845","           677526070.30","      27405","     650931","         49.17"
"ZEEL","P2","23-Aug-2017","          9.60","          9.60","          9.65","          9.60","          9.60","          9.60","          9.62","     344544","             3314622.40","         23","     244544","         70.98"
"ZEEL","EQ","24-Aug-2017","        514.90","        518.00","        518.90","        510.00","        513.10","        511.70","        511.60","    1187770","           607663556.60","      30820","     815645","         68.67"
"ZEEL","P2","24-Aug-2017","          9.60","          9.60","          9.70","          9.60","          9.70","          9.70","          9.62","     505659","             4864326.65","         22","     305657","         60.45"
"ZEEL","EQ","28-Aug-2017","        511.70","        515.00","        520.10","        510.40","        516.00","        517.90","        514.17","    1011745","           520212762.10","      64039","     535975","         52.98"
"ZEEL","P2","28-Aug-2017","          9.70","          9.60","          9.60","          9.60","          9.60","          9.60","          9.60","       3607","               34627.20","          9","       3607","        100.00"
"ZEEL","EQ","29-Aug-2017","        517.90","        518.40","        520.60","        512.00","        518.50","        518.25","        517.39","    1432981","           741403232.05","      30478","     733011","         51.15"
"ZEEL","P2","29-Aug-2017","          9.60","          9.60","          9.70","          9.60","          9.70","          9.65","          9.65","     291127","             2809819.20","         18","     200000","         68.70"
"ZEEL","EQ","30-Aug-2017","        518.25","        518.50","        522.00","        511.90","        520.00","        520.35","        517.40","    1662465","           860163927.20","      46772","     768789","         46.24"
"ZEEL","P2","30-Aug-2017","          9.65","          9.60","          9.75","          9.60","          9.75","          9.70","          9.71","     559834","             5437098.60","         15","     559809","        100.00"
"ZEEL","EQ","31-Aug-2017","        520.35","        518.00","        524.20","        515.95","        520.40","        519.50","        519.96","    1866057","           970265930.45","      36530","    1311152","         70.26"
"ZEEL","P2","31-Aug-2017","          9.70","          9.60","          9.75","          9.60","          9.75","          9.75","          9.74","     419194","             4084713.90","         14","     409143","         97.60"
"ZEEL","EQ","01-Sep-2017","        519.50","        520.25","        527.00","        519.55","        523.50","        523.65","        523.32","     925942","           484565588.25","      31310","     513582","         55.47"
"ZEEL","P2","01-Sep-2017","          9.75","          9.65","          9.70","          9.65","          9.65","          9.65","          9.66","     378182","             3653999.15","         18","     378182","        100.00"
"ZEEL","EQ","04-Sep-2017","        523.65","        523.00","        526.30","        518.50","        520.25","        521.60","        520.66","    1397252","           727490964.75","      33016","     783464","         56.07"
"ZEEL","P2","04-Sep-2017","          9.65","          9.65","          9.75","          9.65","          9.65","          9.65","          9.65","      73964","              713772.60","         16","      73764","         99.73"
"ZEEL","EQ","05-Sep-2017","        521.60","        522.00","        525.00","        519.65","        520.00","        520.70","        521.47","     795813","           414996034.30","      15770","     320983","         40.33"
"ZEEL","P2","05-Sep-2017","          9.65","          9.65","          9.70","          9.65","          9.65","          9.65","          9.65","     133327","             1286855.60","         17","     128325","         96.25"
"ZEEL","EQ","06-Sep-2017","        520.70","        519.70","        521.10","        519.00","        520.00","        520.05","        520.02","    2443611","          1270721666.15","      36235","    2028524","         83.01"
"ZEEL","P2","06-Sep-2017","          9.65","          9.65","          9.70","          9.65","          9.65","          9.65","          9.65","     200967","             1939336.55","         11","     200967","        100.00"
"ZEEL","EQ","07-Sep-2017","        520.05","        520.95","        525.00","        519.50","        521.50","        520.85","        521.13","    1333714","           695036430.00","      13768","     973948","         73.03"
"ZEEL","P2","07-Sep-2017","          9.65","          9.65","          9.65","          9.65","          9.65","          9.65","          9.65","      65538","              632441.70","         19","      65538","        100.00"
"ZEEL","EQ","08-Sep-2017","        520.85","        521.10","        524.95","        516.70","        518.85","        519.80","        520.48","    1749804","           910745285.35","      21468","    1179079","         67.38"
"ZEEL","P2","08-Sep-2017","          9.65","          9.65","          9.70","          9.65","          9.65","          9.65","          9.70","      17311","              167854.20","         12","      17311","        100.00"
"ZEEL","EQ","11-Sep-2017","        519.80","        521.80","        524.65","        519.70","        521.50","        520.30","        520.89","    1824480","           950348109.05","      29163","    1289691","         70.69"
"ZEEL","P2","11-Sep-2017","          9.65","          9.75","          9.75","          9.65","          9.70","          9.70","          9.70","      46740","              453367.10","         17","      46738","        100.00"
"ZEEL","EQ","12-Sep-2017","        520.30","        524.00","        535.80","        521.55","        531.50","        532.45","        531.86","    2428261","          1291497478.25","      32206","    1337044","         55.06"
